subscription_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,billing_frequency,account_id,auto_renew_flag,churn_flag,downgrade_flag,is_trial,upgrade_flag
S-323782,2024-02-22,,Basic,39.0,741.0,8892.0,monthly,A-7920cc,True,False,False,False,False
S-1cff18,2024-10-03,,,11.0,209.0,2508.0,monthly,A-2789e3,True,False,False,False,False
S-ad39ef,2024-08-25,,Pro,21.0,0.0,0.0,annual,A-e40f45,True,False,False,True,True
S-bf806d,2024-09-21,,Basic,62.0,1178.0,14136.0,,A-7c5768,True,False,False,False,False
S-36f6ec,2024-08-16,,Pro,21.0,1029.0,12348.0,monthly,A-ccb686,True,False,False,False,True
S-aff55c,2024-01-14,2024-12-29,Pro,8.0,0.0,0.0,,A-bb2f49,True,True,False,True,False
S-b9fc6c,2023-06-16,,Basic,41.0,779.0,9348.0,,A-2ebb4b,True,False,False,False,False
S-7f8cd8,2024-09-18,,Enterprise,20.0,3980.0,47760.0,monthly,A-53f4e3,True,True,False,False,False
,2023-12-12,,Enterprise,78.0,15522.0,186264.0,monthly,A-a8d89d,True,False,False,False,False
S-fef85a,2024-08-06,,,34.0,1666.0,19992.0,annual,A-7f8241,True,False,False,False,False
S-36d5c9,2023-09-16,,Enterprise,11.0,2189.0,26268.0,monthly,A-54ecc2,True,False,False,False,False
S-b9ff15,2024-01-08,,Enterprise,43.0,8557.0,102684.0,annual,A-95b24a,False,False,False,False,False
S-10bd09,2024-09-03,,Basic,50.0,950.0,11400.0,annual,A-bbc346,True,False,False,False,False
S-12bfc8,2024-12-06,,Enterprise,29.0,5771.0,69252.0,monthly,A-31ab9a,False,False,False,False,False
S-f5c472,2024-07-09,,Basic,48.0,912.0,10944.0,monthly,A-faa28c,True,False,False,False,False
S-dbc1ca,2024-04-24,,Enterprise,14.0,2786.0,33432.0,annual,A-8adedc,True,False,False,False,False
S-dc6dfd,2024-09-30,,Pro,67.0,3283.0,39396.0,monthly,A-e08cd3,True,False,False,False,False
S-b2d472,2024-08-27,2024-12-11,Enterprise,,1990.0,23880.0,annual,A-bcf87c,False,True,False,False,False
S-9dfce0,2024-08-30,,Pro,2.0,98.0,1176.0,annual,A-e6afc1,True,False,False,False,False
S-9cb6a7,,,Basic,41.0,779.0,9348.0,monthly,A-7f29a7,True,False,False,False,False
S-dabcd2,2024-09-22,,Pro,28.0,,0.0,monthly,A-3ce5b8,True,False,False,True,False
S-8c3cc8,2024-10-17,,Basic,47.0,0.0,0.0,monthly,A-b2225d,True,False,False,True,False
,2024-07-08,,Enterprise,70.0,13930.0,167160.0,annual,A-fa3095,True,False,False,False,False
S-f0a2e5,2024-06-05,,Basic,23.0,,0.0,annual,A-55f257,True,False,False,True,False
S-025bea,2024-06-25,,Pro,17.0,833.0,9996.0,monthly,A-9affe6,True,False,False,False,True
S-0e499f,2024-08-17,,Pro,16.0,784.0,9408.0,annual,A-296d7c,False,False,False,False,False
S-0267b7,2024-10-17,2024-12-04,Enterprise,13.0,0.0,0.0,monthly,A-65a46c,True,True,False,True,False
S-b5b9a5,2024-07-25,,basic,55.0,1045.0,12540.0,monthly,A-812c5b,True,False,False,False,False
S-8e45ba,2023-12-13,,Basic,34.0,646.0,7752.0,annual,A-7f8241,False,False,False,False,False
S-37ed34,2024-07-07,,Enterprise,20.0,3980.0,47760.0,,A-d4ac0e,True,False,False,False,False
S-65dbf3,2024-12-28,,Basic,,684.0,8208.0,monthly,A-17939a,True,False,False,False,False
S-ce5450,2024-12-25,2024-12-28,Pro,8.0,0.0,0.0,annual,A-0a282f,True,True,False,True,False
S-6c969d,2024-05-08,,Basic,14.0,266.0,3192.0,monthly,A-855a48,False,False,False,False,False
S-522aef,2024-08-22,,Pro,4.0,196.0,2352.0,annual,A-f3ff05,True,False,False,False,False
S-82db05,,,Pro,26.0,1274.0,15288.0,,A-417d2f,True,False,False,False,False
S-162596,2024-02-29,,Pro,18.0,0.0,0.0,monthly,A-462d45,True,False,False,True,False
S-f703bd,2024-09-04,,Pro,,539.0,6468.0,monthly,A-202b67,True,False,False,False,False
S-a1d6ad,2024-09-01,,pro,27.0,1323.0,15876.0,monthly,A-eafc6e,True,False,False,False,False
S-8b1fc1,,,Basic,15.0,0.0,0.0,monthly,A-309e54,True,False,False,True,False
S-09cdac,2024-07-31, 2024-09-04    ,,41.0,779.0,9348.0,annual,A-82861f,True,True,False,False,False
S-fa5301,2024-03-14,,Pro,55.0,0.0,0.0,monthly,A-ba6516,False,False,False,True,False
S-69937b,2024-08-08,,Pro,14.0,,8232.0,annual,A-08e34e,False,False,False,False,False
S-f2537d,2024-01-24,,Pro,44.0,2156.0,25872.0,monthly,A-e43bf7,True,False,False,False,False
S-27f7b2,2024-04-03,,Basic,38.0,722.0,8664.0,annual,A-a1b80b,True,False,False,False,False
S-9c2b8e,2024-12-26,,Basic,19.0,361.0,4332.0,annual,A-443f6f,True,False,False,False,True
S-a4f26d,2023-05-21,,Pro,20.0,980.0,11760.0,monthly,A-32728c,True,False,False,False,False
S-0cb6ed,2024-11-09,2024-12-18,Pro,53.0,2597.0,31164.0,annual,A-ac85cd,True,True,False,False,False
S-367dee,2024-06-29,,Pro,1.0,49.0,588.0,annual,A-e19ff6,True,False,False,False,False
S-3b9ad8,2024-12-24,,,28.0,5572.0,66864.0,monthly,A-6e08f3,False,False,False,False,False
S-c9f8c1,2024-07-23,,Enterprise,5.0,995.0,11940.0,monthly,A-544d0a,True,False,True,False,False
S-57cd05,2024-10-26,,Basic,41.0,779.0,9348.0,annual,A-8b0451,True,False,False,False,False
S-e505c1,2024-09-17,,,34.0,,19992.0,annual,A-8ae3fc,True,False,False,False,False
S-121b4d,2024-11-22,,Basic,9.0,171.0,2052.0,annual,A-8ae3fc,True,False,False,False,False
S-72b4f2,2024-02-06,,Pro,49.0,2401.0,28812.0,annual,A-4437e4,True,False,False,False,False
S-c9b0cc,2024-10-11,, Enterprise    ,38.0,7562.0,90744.0,monthly,A-4d1e75,True,False,False,False,False
S-27c993,2024-11-17,,enterprise,4.0,796.0,9552.0,monthly,A-098560,True,False,False,False,False
S-8b9889,2024-08-18,,Pro,21.0,1029.0,12348.0,monthly,A-ac9111,True,False,False,False,False
,2024-10-07,,,82.0,4018.0,48216.0,monthly,A-3c1a3f,True,False,False,False,False
,2024-05-25,,Enterprise,13.0,0.0,0.0,annual,A-cb6cc6,False,False,False,True,False
S-066d80,,,Pro,5.0,245.0,2940.0,monthly,A-9b9fe9,True,False,False,False,False
S-228457,2024-05-24,,Enterprise,24.0,4776.0,57312.0,annual,A-029f69,True,False,False,False,False
S-e50612,,,Basic,13.0,247.0,2964.0,annual,A-c7e58b,False,False,False,False,False
S-64fba3,2024-07-16,,Enterprise,28.0,5572.0,66864.0,annual,A-00bed1,True,False,False,False,False
S-2372d2,2024-12-22,,Enterprise,21.0,4179.0,50148.0,annual,A-cea1f0,False,False,False,False,False
S-2661dc,2024-08-07,,Pro,20.0,0.0,0.0,monthly,A-c37cab,True,False,False,True,False
,2024-07-14,,Enterprise,36.0,7164.0,85968.0,annual,A-4c38bc,True,False,False,False,False
S-628729,2024-10-05,,Enterprise,23.0,4577.0,54924.0,,A-157070,True,False,True,False,False
S-e260ff,2024-12-09,,Enterprise,21.0,4179.0,50148.0,annual,A-bcf87c,True,False,False,False,False
S-89c03a,2024-09-20,, Pro    ,9.0,,5292.0,monthly,A-8ae3fc,True,False,False,False,False
S-86455a,2023-12-01,,Pro,12.0,588.0,7056.0,monthly,A-1b9609,True,False,False,False,False
S-3660bb,2024-12-14,,Enterprise,10.0,0.0,,monthly,A-474ad4,False,False,False,True,False
S-6bf7d7,2024-03-23,,Pro,53.0,2597.0,31164.0,annual,A-9bfc9f,False,False,True,False,False
S-feccd8,,,Enterprise,55.0,10945.0,131340.0,monthly,A-812c5b,True,False,False,False,False
S-0e4b0c,2023-02-28,2023-06-15,Pro,24.0,1176.0,14112.0,annual,A-39b19f,True,True,True,False,False
,2023-07-09,,Basic,15.0,285.0,3420.0,monthly,A-de58ca,True,False,False,False,False
,2024-11-13,,Pro,46.0,2254.0,27048.0,annual,A-e60f9d,True,False,False,False,False
S-c2a6cb,2023-10-19,,Enterprise,7.0,1393.0,16716.0,annual,A-9affe6,False,False,False,False,True
S-1bd2ec,2024-12-25,2024-12-28,Basic,,722.0,8664.0,annual,A-e60f9d,True,True,False,False,False
S-3cc352,2024-08-06,,Pro,44.0,2156.0,25872.0,monthly,A-d27f50,True,False,False,False,False
S-124207,2023-08-31,,Basic,29.0,551.0,6612.0,annual,A-fdfc91,True,False,False,False,False
,2024-02-09,,Enterprise,44.0,8756.0,105072.0,monthly,A-712f1c,True,False,False,False,False
S-44f453,2024-02-10,,Enterprise,20.0,3980.0,47760.0,monthly,A-19b2c8,True,False,False,False,False
S-03a97f,2024-03-15,,Pro,60.0,2940.0,35280.0,,A-f51f16,True,False,False,False,False
S-80c01c,2024-12-16,, Basic    ,16.0,304.0,3648.0,annual,A-d3c88e,True,False,False,False,True
S-666181,2024-10-09,,Basic,71.0,1349.0,16188.0,annual,A-eb1312,True,False,False,False,False
S-401496,2023-08-13,2024-06-22,Enterprise,4.0,796.0,9552.0,monthly,A-68f37c,True,True,False,False,True
S-ca0c98,2024-11-28,,,7.0,343.0,4116.0,monthly,A-fda07f,True,False,False,False,False
S-017e33,2024-11-08,,Basic,53.0,1007.0,12084.0,monthly,A-f9cc74,True,True,False,False,False
S-183073,2024-07-19,,,14.0,2786.0,,monthly,A-e7a1e2,True,False,False,False,False
S-22f503,2024-09-06,,Basic,6.0,114.0,1368.0,annual,A-7a0d69,True,False,False,False,False
S-7de1b7,2024-10-27,,,20.0,3980.0,47760.0,annual,A-4d1e75,True,False,False,False,False
,2024-11-23,,Pro,83.0,,0.0,annual,A-902ef7,True,False,False,True,True
S-ceffe9,2024-11-23,,,2.0,398.0,4776.0,monthly,A-89ee83,True,False,False,False,False
S-9b2c95,2024-11-24,2024-12-05,Pro,29.0,0.0,,annual,A-e60f9d,True,True,False,True,False
S-cf6ec1,2024-08-04,,Enterprise,22.0,4378.0,52536.0,,A-d77f4c,False,False,False,False,True
S-a44d72,2024-06-12,,Pro,18.0,882.0,10584.0,,A-b30291,True,False,False,False,False
S-0b0ffa,,2024-04-19,basic,64.0,0.0,,annual,A-180abf,True,True,False,True,False
S-02af5d,2024-08-07,,Enterprise,,0.0,0.0,annual,A-d82ef9,True,False,False,True,False
S-d07c53,2024-09-24,,Basic,21.0,399.0,4788.0,annual,A-249769,True,False,False,False,False
S-c67b80,2024-02-24,,Pro,31.0,1519.0,18228.0,,A-eb2fdc,False,False,False,False,False
S-5d68fb,2024-12-02,,Pro,49.0,2401.0,28812.0,annual,A-5f2961,True,False,False,False,False
S-fc9cc3,2024-01-01,,Pro,24.0,1176.0,14112.0,annual,A-9b9fe9,True,False,False,False,False
S-17f71d,2024-05-15,,Pro,44.0,2156.0,25872.0,monthly,A-e40f45,True,False,False,False,True
S-5895f0,,,Basic,8.0,0.0,0.0,annual,A-bcf664,True,False,False,True,False
S-b042d9,2024-11-15,,Enterprise,11.0,2189.0,26268.0,annual,A-0e966d,True,False,False,False,False
S-ffd1ee,,,Pro,27.0,0.0,0.0,,A-f03140,True,False,False,True,False
S-9c4bcd,2024-05-14,,Pro,5.0,245.0,2940.0,monthly,A-a7bd4b,True,False,False,False,True
S-4f91d0,2024-10-12,,basic,34.0,646.0,7752.0,monthly,A-7f8241,False,False,False,False,False
,2023-08-08,,Pro,27.0,1323.0,,monthly,A-eafc6e,True,False,False,False,False
S-101201,2024-02-13,,Basic,50.0,,11400.0,annual,A-d49cc5,True,False,False,False,False
S-eea643,2024-10-30,,Enterprise,28.0,5572.0,,,A-54ecc2,True,False,False,False,False
S-5f9a67,2023-12-04,,Pro,5.0,245.0,2940.0,annual,A-6da850,True,False,False,False,False
S-327e7c,2024-02-07,,Enterprise,17.0,0.0,0.0,annual,A-4e960a,True,False,False,True,False
S-d97c5f,,,Pro,101.0,4949.0,59388.0,monthly,A-533452,True,False,False,False,False
,2024-12-13,,Basic,10.0,0.0,0.0,,A-f44180,False,False,False,True,False
S-a74462,2024-05-14,,Pro,48.0,2352.0,28224.0,annual,A-7c83a1,True,False,False,False,False
S-02ec76,2024-09-17,,Pro,29.0,1421.0,17052.0,monthly,A-e60f9d,True,False,False,False,False
S-d1c9e3,2024-01-09,,Basic,17.0,323.0,3876.0,annual,A-075038,True,False,False,False,False
,2024-12-30,,Enterprise,6.0,1194.0,14328.0,annual,A-cc1d8d,True,False,False,False,False
S-c3c85e,2024-10-31,,Basic,38.0,722.0,,monthly,A-271f46,True,False,False,False,False
S-44a646,2023-12-26,,Basic,50.0,950.0,11400.0,annual,A-1e1b80,True,False,False,False,False
,2024-12-02,2024-12-19,Enterprise,37.0,7363.0,88356.0,monthly,A-e4bf56,True,True,False,False,False
S-4f0027,2024-12-31,2024-12-31,Enterprise,19.0,3781.0,45372.0,annual,A-ff79f2,True,True,False,False,False
S-6c9ee1,2024-02-20,,ENTERPRISE,23.0,,0.0,monthly,A-6da850,True,False,False,True,False
,2024-10-23,2024-11-27,Basic,21.0,399.0,4788.0,monthly,A-5b4ebb,False,True,False,False,False
,2024-07-06,,Basic,22.0,,0.0,monthly,A-3f9cc0,True,False,False,True,False
S-259804,2024-10-01,,Basic,28.0,532.0,6384.0,annual,A-d4ac0e,True,False,False,False,False
S-33e40e,2024-10-10,2024-12-29,Enterprise,2.0,398.0,4776.0,annual,A-86cdb4,True,True,False,False,False
S-fbd522,2024-12-28,,Pro,9.0,0.0,0.0,annual,A-310452,False,False,False,True,False
S-bbafad,2024-12-27,2024-12-30,Basic,20.0,380.0,4560.0,annual,A-854864,True,True,False,False,False
,2024-10-04,,Pro,26.0,0.0,0.0,annual,A-d82ef9,True,False,False,True,False
S-11e29d,2024-10-13,,Basic,32.0,608.0,,monthly,A-71615e,True,False,False,False,False
S-1feff8,2024-12-06,,Enterprise,39.0,7761.0,93132.0,annual,A-5fe118,True,False,False,False,False
S-61e86c,2024-12-07,,Enterprise,,7960.0,95520.0,annual,A-39ddf4,True,False,False,False,False
S-af41f0,2024-06-27,,Basic,2.0,38.0,456.0,annual,A-e83938,False,False,False,False,False
S-65ae02,2024-12-14,,Pro,,2891.0,,annual,A-671f31,True,False,False,False,False
S-f7fccd,2024-11-18,,Basic,6.0,0.0,0.0,annual,A-443b7c,True,False,False,True,True
S-7904d3,2024-11-30,2024-12-03,Enterprise,117.0,,279396.0,monthly,A-d4e0d4,True,True,False,False,False
S-48a54e,2024-10-29,,Basic,47.0,0.0,0.0,monthly,A-b2225d,True,False,False,True,False
,2024-10-11,,Pro,67.0,3283.0,39396.0,annual,A-e08cd3,False,False,False,False,False
S-faa8ec,2024-12-09,,Basic,11.0,209.0,2508.0,monthly,A-2e4581,True,False,False,False,False
,2024-10-18,,Pro,25.0,1225.0,14700.0,monthly,A-4a267b,True,False,True,False,False
S-3c0121,2024-12-30,,Pro,24.0,1176.0,14112.0,monthly,A-7c83a1,True,False,False,False,False
S-13ca37,2024-12-21,,Pro,21.0,0.0,0.0,monthly,A-6843f2,True,False,True,True,False
S-163e64,2024-11-08,,Enterprise,62.0,,148056.0,monthly,A-dfbd31,True,False,False,False,False
S-4d1ba6,2024-04-04,,Enterprise,9.0,0.0,0.0,annual,A-00cac8,False,False,False,True,False
S-e98d6b,2024-12-31,,Basic,15.0,285.0,3420.0,annual,A-309e54,True,False,False,False,False
S-041624,2024-12-12,,enterprise,21.0,4179.0,50148.0,monthly,A-6843f2,True,False,False,False,False
S-b78829,2024-11-12,,,20.0,980.0,,monthly,A-2e4581,True,False,False,False,False
S-ca1c21,2024-12-02,,Basic,9.0,0.0,0.0,annual,A-f92792,False,False,False,True,False
S-e1de58,2024-10-28,,Enterprise,35.0,6965.0,83580.0,,A-ce550d,True,False,False,False,True
S-721fea,2024-05-23,,Pro,23.0,1127.0,13524.0,monthly,A-f6b2fb,True,False,True,False,False
S-eaac58,,,,66.0,1254.0,15048.0,annual,A-ff3c73,True,False,False,False,False
S-1218fd,2024-11-02,,Basic,14.0,266.0,3192.0,monthly,A-2d4502,False,False,False,False,True
S-936732,2024-11-28,2024-12-06,Pro,19.0,931.0,11172.0,annual,A-2f6a32,True,True,False,False,False
S-c2f293,2024-12-10,2024-12-30,Basic,8.0,152.0,1824.0,monthly,A-69b156,False,True,False,False,False
S-fe3b71,2024-09-24,,Enterprise,37.0,0.0,0.0,monthly,A-44dc83,True,False,False,True,False
S-f5f5b3,2024-12-26,2024-12-29,BASIC,10.0,190.0,2280.0,annual,A-89ee83,True,True,False,False,False
,2023-12-12,2024-12-29,Enterprise,28.0,5572.0,66864.0,monthly,A-40de06,True,True,False,False,False
S-851bbe,2024-04-22,,enterprise,94.0,18706.0,224472.0,annual,A-d77f4c,True,False,False,False,True
S-dab0d5,2024-12-14,,Basic,5.0,0.0,0.0,monthly,A-cc1d8d,True,False,False,True,False
S-9aa190,2024-10-17,,Basic,33.0,627.0,7524.0,,A-9b9fe9,True,False,False,False,False
S-f89d8c,2024-12-18,,Pro,49.0,2401.0,28812.0,monthly,A-88c6ca,True,False,False,False,False
,2024-11-24,, Enterprise    ,33.0,0.0,0.0,monthly,A-1ac5e0,False,False,False,True,False
S-10134d,2024-09-09,,Enterprise,,4577.0,54924.0,annual,A-52dd88,True,False,False,False,False
S-85de7a,2024-04-01,,Enterprise,32.0,6368.0,76416.0,annual,A-940b8b,True,False,True,False,False
S-85796b,2024-08-27,2024-10-31,Enterprise,23.0,4577.0,54924.0,monthly,A-f19409,True,True,False,False,False
S-c97464,2024-10-16,,Pro,38.0,1862.0,22344.0,monthly,A-f5641b,False,False,False,False,False
S-6732ff,2023-11-22,,Pro,24.0,1176.0,14112.0,annual,A-9affe6,True,False,False,False,False
S-aa20eb,2024-09-08,,Pro,1.0,49.0,588.0,monthly,A-6f8ad2,False,False,False,False,False
S-b6aabe,2024-12-25,,Basic,83.0,1577.0,18924.0,annual,A-902ef7,True,False,False,False,False
S-0ff339,2024-01-21,,Basic,12.0,228.0,2736.0,annual,A-6dee43,True,False,False,False,False
S-4d664d,,,,16.0,784.0,9408.0,annual,A-cc1d8d,True,False,True,False,True
S-8deb5f,2024-12-25,,Basic,52.0,988.0,11856.0,annual,A-533452,False,False,False,False,False
S-e2d4e9,2024-12-30,,Basic,148.0,0.0,0.0,monthly,A-18793f,True,False,False,True,True
S-d8441d,2024-03-16,,Basic,,76.0,912.0,annual,A-8adedc,True,False,False,False,False
S-6d356a,2023-06-26,,Basic,28.0,532.0,6384.0,,A-425e76,False,False,False,False,False
S-c005ac,2024-09-18,,Enterprise,25.0,4975.0,59700.0,annual,A-92a3af,True,False,False,False,False
S-d0913e,2024-11-14,,Pro,31.0,1519.0,18228.0,monthly,A-eb2fdc,True,False,False,False,False
S-4bef15,2024-08-14,2024-09-22,Enterprise,29.0,0.0,0.0,annual,A-600734,True,True,False,True,False
S-2573e4,2024-01-25,,Basic,60.0,1140.0,13680.0,monthly,A-7f8241,True,False,False,False,False
S-80c291,2024-01-06,,Enterprise,18.0,3582.0,42984.0,annual,A-712533,True,False,False,False,False
S-64acb8,2024-08-21,,Enterprise,30.0,5970.0,71640.0,monthly,A-3be56b,True,False,False,False,False
S-13a948,2024-07-24,,Enterprise,15.0,2985.0,35820.0,monthly,A-d5a319,False,False,False,False,True
S-081b81,2024-01-30,,Basic,20.0,380.0,4560.0,annual,A-b20d99,True,False,False,False,False
S-68c537,2024-06-06,,,29.0,5771.0,69252.0,monthly,A-9ee962,True,False,False,False,False
S-3f82bc,2023-10-30,,Basic,15.0,0.0,0.0,monthly,A-d5a319,True,False,True,True,False
S-fe6311,2024-11-11,,Enterprise,19.0,0.0,0.0,monthly,A-5c9849,True,False,False,True,False
S-b3c4b8,2024-12-17,,Pro,38.0,0.0,0.0,annual,A-c43359,True,False,False,True,False
S-8923b3,2024-05-17,,Basic,27.0,513.0,6156.0,annual,A-157070,True,False,False,False,False
S-2410c6,2024-05-11,,Basic,33.0,627.0,7524.0,annual,A-5247b3,False,False,False,False,False
S-7a06fe,2024-09-28,,Pro,28.0,1372.0,,monthly,A-5a92e7,True,False,False,False,False
S-ceaca8,2024-08-10,,ENTERPRISE,24.0,4776.0,,monthly,A-96e141,True,False,False,False,False
S-02c3e7,2024-08-14,,Enterprise,6.0,1194.0,14328.0,annual,A-7c4956,True,False,False,False,False
S-3a1a06,,,Enterprise,14.0,2786.0,33432.0,monthly,A-eb7fac,True,False,False,False,False
,2024-06-10,,,25.0,1225.0,14700.0,monthly,A-22d9d2,False,False,False,False,False
S-c10f0c,2024-11-11,,Basic,6.0,114.0,1368.0,,A-0f7d77,False,False,False,False,False
S-cdd00a,2024-08-23,,Basic,38.0,722.0,8664.0,monthly,A-4e44e8,True,False,False,False,False
S-d57a67,2024-07-14,,Pro,27.0,1323.0,15876.0,monthly,A-2446e3,True,False,False,False,False
S-f75ac4,2024-02-17,,Enterprise,48.0,0.0,0.0,annual,A-faa28c,True,False,False,True,False
S-76c59f,2024-08-01,, Basic    ,24.0,456.0,5472.0,annual,A-0aaf6e,True,False,False,False,False
,,,Pro,25.0,1225.0,14700.0,,A-bb1eaa,True,False,False,False,False
S-d0f5fb,2024-04-25,,Enterprise,9.0,1791.0,21492.0,annual,A-39868b,False,False,False,False,False
S-ffb6cc,2024-09-28,,,41.0,8159.0,97908.0,monthly,A-94d3da,False,False,False,False,False
S-1b8300,,,Enterprise,48.0,0.0,0.0,monthly,A-faa28c,True,False,False,True,True
,2024-12-24,,Basic,148.0,2812.0,33744.0,annual,A-18793f,True,False,False,False,False
S-a88ffd,2024-09-06,,PRO,13.0,637.0,7644.0,annual,A-cc102e,True,False,False,False,False
S-f12a54,2024-11-24,,Pro,2.0,,1176.0,monthly,A-f3ff05,True,False,False,False,False
S-f9b284,2024-07-02,,Pro,8.0,392.0,4704.0,annual,A-22d9d2,True,False,False,False,False
S-61e53d,2024-11-15,2024-12-14,Basic,22.0,418.0,5016.0,annual,A-d42431,False,True,False,False,False
S-4c5456,2024-12-19,,Basic,34.0,646.0,7752.0,monthly,A-149a69,True,False,False,False,False
S-b15cde,2023-05-01,,Pro,13.0,637.0,,monthly,A-ee42db,True,False,False,False,False
S-9e6a18,2024-11-06,,Pro,21.0,1029.0,12348.0,monthly,A-7d514c,False,False,False,False,True
S-0b2ac3,2024-01-01,,Basic,7.0,0.0,0.0,annual,A-d792a6,True,False,False,True,False
S-cb8a5c,,,Enterprise,1.0,199.0,2388.0,annual,A-1e6fc3,True,False,False,False,False
S-8b52b5,2024-03-04,,Enterprise,,5174.0,62088.0,monthly,A-c1dfe1,True,False,False,False,False
