ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,account_id,escalation_flag
T-6b6fb7,2024-02-11,2024-02-11 04:00:00,4.0,medium,119.0,3.0,,
T-2e5ba4,2024-12-05,2024-12-05 14:00:00,14.0,low,46.0,4.0,,
T-8001a4,2023-05-08,2023-05-08 11:00:00,,urgent,53.0,4.0,,
T-a1d9dd,2024-04-27,2024-04-29 16:00:00,64.0,urgent,21.0,3.0,,
T-121d6f,2024-09-17,2024-09-17 17:00:00,17.0,low,132.0,4.0,,
T-fd1ba2,2023-12-15,2023-12-16 16:00:00,40.0,high,158.0,4.0,,
T-b6d7ac,2023-10-29,2023-10-29 11:00:00,11.0,low,12.0,5.0,,
T-f2b9a5,2024-01-19,2024-01-20 12:00:00,36.0,medium,138.0,,,
t-61fc87,2023-01-13,,65.0,medium,127.0,3.0,,
T-00fa83,2023-04-01,2023-04-03 22:00:00,70.0,low,,,,
T-358dd5,2023-08-20,2023-08-22 09:00:00,57.0,medium,131.0,,,
T-54e843,2024-10-06,2024-10-06 08:00:00,8.0,medium,63.0,3.0,,
T-50ad36,,2023-05-08 02:00:00,26.0,medium,126.0,,,
T-06bf16,2023-08-02,2023-08-03 06:00:00,30.0,medium,44.0,4.0,,
T-f155f0,2023-08-06,2023-08-06 06:00:00,6.0,high,156.0,,,
T-777753,2023-01-23,2023-01-25 21:00:00,69.0,,74.0,,,
T-857a8d,2024-01-08,2024-01-10 18:00:00,66.0,medium,52.0,,,
T-384dcb,2024-11-18,2024-11-20 23:00:00,71.0,urgent,6.0,5.0,,
T-970c6c,2024-12-12,2024-12-12 20:00:00,20.0,urgent,123.0,,,
T-50c7f8,2024-01-18,,36.0,urgent,47.0,,,
T-a528f4,2023-04-15,2023-04-16 00:00:00,24.0,urgent,7.0,3.0,,
T-7b7a5a,2024-10-02,2024-10-02 19:00:00,,high,170.0,5.0,,
T-C9A73C,2024-10-24,2024-10-24 18:00:00,18.0,urgent,86.0,4.0,,
T-486b6b,2023-01-28,2023-01-28 22:00:00,22.0,urgent,102.0,5.0,,
 T-19cc99    ,,2023-04-30 05:00:00,,high,134.0,,,
T-35fc90,2023-10-23,2023-10-25 19:00:00,67.0,low,121.0,,,
T-d4142b,2023-05-25,2023-05-27 18:00:00,66.0,urgent,69.0,4.0,,
T-6ba215,2023-03-24,2023-03-26 18:00:00,66.0,low,73.0,,,
T-e5c785,2023-03-07,2023-03-08 02:00:00,26.0,medium,,3.0,,
T-4f0d98,,2023-03-31 10:00:00,10.0,urgent,19.0,,,
T-e97da3,,2024-04-05 01:00:00,25.0,low,81.0,,,
T-990a0e,2024-11-06,,48.0,high,28.0,,,
T-ce1dee,2024-10-10,2024-10-11 08:00:00,118.0,low,262.0,1.0,,
T-B7B797,2024-03-11,2024-03-12 11:00:00,,medium,24.0,,,
T-847498,2023-07-17,2023-07-19 11:00:00,59.0,high,36.0,,,
T-2ef49b,2023-09-15,2023-09-16 21:00:00,,medium,33.0,5.0,,
T-fb6fa3,2024-11-26,2024-11-26 08:00:00,8.0,urgent,57.0,,,
T-a3f900,2023-07-22,2023-07-23 05:00:00,29.0,medium,126.0,3.0,,
T-b9e7df,2023-05-10,2023-05-10 05:00:00,,medium,158.0,,,
T-0e6db2,2024-06-27,2024-06-29 12:00:00,60.0,urgent,169.0,5.0,,
T-4c2f4b,2023-12-02,2023-12-03 13:00:00,37.0,,150.0,,,
T-e7dc15,2024-03-26,2024-03-26 22:00:00,22.0,medium,137.0,,,
T-9876fb,2024-01-18,2024-01-18 14:00:00,,high,92.0,,,
T-2c6679,2024-07-16,2024-07-18 03:00:00,51.0,medium,73.0,5.0,,
T-03303d,2023-11-29,2023-12-01 11:00:00,59.0,high,7.0,,,
T-1ed4c4,2024-03-21,2024-03-21 15:00:00,15.0,urgent,129.0,5.0,,
T-7c6ab3,2024-12-23,2024-12-25 09:00:00,57.0,urgent,96.0,5.0,,
T-67bfcf,2023-09-01,2023-09-02 12:00:00,36.0,urgent,144.0,3.0,,
t-088eb6,2024-03-28,2024-03-28 21:00:00,21.0,high,23.0,,,
 T-b4bec0    ,2023-08-05,2023-08-06 09:00:00,33.0,urgent,,,,
T-03d219,2024-01-02,2024-01-04 05:00:00,53.0,urgent,6.0,,,
T-7c2d38,2024-11-03,2024-11-03 01:00:00,1.0,,35.0,,,
T-1112c6,2023-09-22,2023-09-25 00:00:00,72.0,urgent,24.0,3.0,,
,2023-08-19,2023-08-21 12:00:00,60.0,low,132.0,,,
T-d2e273,2024-10-05,2024-10-05 05:00:00,5.0,,94.0,,,
T-bdc72c,2024-11-19,2024-11-21 14:00:00,62.0,medium,106.0,3.0,,
,2024-11-20,2024-11-21 16:00:00,40.0,medium,4.0,3.0,,
 T-03624c    ,2024-01-29,2024-01-31 10:00:00,,low,68.0,3.0,,
,2023-03-12,2023-03-14 07:00:00,55.0,,123.0,5.0,,
T-37f2cf,,2024-05-30 17:00:00,41.0,urgent,127.0,5.0,,
T-826f63,2023-07-23,2023-07-26 00:00:00,72.0,low,169.0,,,
T-f7ec04,2023-10-18,2023-10-18 16:00:00,16.0,urgent,74.0,,,
T-856d24,2023-05-05,2023-05-07 05:00:00,53.0,high,166.0,,,
T-cbfd6b,2023-03-15,2023-03-16 01:00:00,25.0,medium,137.0,4.0,,
T-66636b,2023-07-25,2023-07-27 22:00:00,70.0,medium,116.0,4.0,,
T-be44ea,2024-09-17,2024-09-19 01:00:00,49.0,medium,19.0,5.0,,
T-fcd539,,2024-07-12 21:00:00,21.0,urgent,97.0,,,
T-433a53,2023-02-28,2023-02-28 10:00:00,10.0,high,160.0,,,
T-5fb9f7,2023-01-06,2023-01-06 19:00:00,19.0,medium,88.0,,,
,2024-06-24,,43.0,urgent,,,,
T-9398db,2024-06-28,2024-06-30 00:00:00,48.0,low,107.0,5.0,,
T-58a90d,2024-11-25,2024-11-26 02:00:00,26.0,high,170.0,3.0,,
,2023-12-02,2023-12-03 10:00:00,34.0,medium,150.0,4.0,,
,2024-05-14,2024-05-14 01:00:00,1.0,high,47.0,5.0,,
T-b8ed8f,2023-01-18,2023-01-18 11:00:00,11.0,high,99.0,,,
T-97fa24,2023-06-16,2023-06-16 09:00:00,,medium,73.0,3.0,,
T-290bd4,2023-06-02,,3.0,medium,18.0,,,
T-c45238,2024-11-03,2024-11-05 12:00:00,60.0,medium,139.0,,,
T-a8de52,2024-11-07,2024-11-07 17:00:00,17.0,medium,128.0,5.0,,
T-73259c,2023-05-09,2023-05-09 20:00:00,20.0,medium,59.0,,,
T-eace7b,2023-02-12,2023-02-13 08:00:00,,low,156.0,,,
T-9cb671,2023-06-11,2023-06-13 07:00:00,55.0,high,73.0,,,
T-ae23c2,,2023-03-10 15:00:00,39.0,urgent,127.0,5.0,,
T-1cbbd0,2024-01-28,2024-01-29 09:00:00,33.0,urgent,38.0,4.0,,
T-78b6e2,2023-09-11,2023-09-12 07:00:00,31.0,high,45.0,5.0,,
T-a941f1,2023-10-20,2023-10-20 08:00:00,8.0,low,129.0,5.0,,
T-667845,,2024-09-17 11:00:00,11.0,urgent,77.0,3.0,,
,2023-01-04,2023-01-06 13:00:00,61.0,high,46.0,4.0,,
T-6a2899,2023-09-12,2023-09-14 03:00:00,51.0,medium,136.0,,,
T-ceb781,2023-07-17,2023-07-17 09:00:00,9.0,low,108.0,3.0,,
T-365342,2023-04-04,2023-04-05 05:00:00,29.0,low,146.0,5.0,,
T-e9e7a7,2023-06-17,2023-06-17 22:00:00,22.0,low,107.0,3.0,,
,,2023-11-06 14:00:00,62.0,,31.0,3.0,,
T-5b7600,2023-08-28,2023-08-29 21:00:00,45.0,,127.0,5.0,,
T-d0e9c2,2024-02-27,2024-02-28 12:00:00,36.0,medium,112.0,,,
T-62d8ce,2024-09-01,2024-09-02 02:00:00,26.0,low,165.0,5.0,,
T-2a24d4,2023-08-19,2023-08-19 17:00:00,17.0,urgent,87.0,3.0,,
T-a3d1d0,2023-08-24,2023-08-25 20:00:00,44.0,urgent,54.0,,,
T-ade86f,2024-01-25,2024-01-25 16:00:00,16.0,low,96.0,,,
T-b8e4c5,2023-11-03,2023-11-04 10:00:00,34.0,low,98.0,,,
T-ffeda5,2023-11-12,2023-11-13 16:00:00,40.0,medium,90.0,,,
T-e938bb,2024-07-24,2024-07-26 06:00:00,54.0,medium,171.0,4.0,,
T-85af66,2024-01-12,2024-01-12 13:00:00,13.0,medium,165.0,,,
t-e13c08,2023-12-28,2023-12-28 06:00:00,6.0,low,23.0,,,
T-f365f1,2024-10-14,2024-10-15 19:00:00,43.0,medium,161.0,5.0,,
T-dd45ee,2024-12-09,2024-12-09 08:00:00,8.0,high,97.0,3.0,,
T-59d842,2024-08-05,2024-08-07 19:00:00,67.0,medium,168.0,4.0,,
 T-4a12e6    ,2024-08-07,,47.0,urgent,108.0,5.0,,
T-3bfb51,2024-05-07,,23.0,high,60.0,,,
T-d3391b,2023-11-25,2023-11-27 17:00:00,65.0,low,165.0,,,
 T-ae6671    ,2023-07-16,,58.0,,112.0,,,
T-300e16,2024-10-15,2024-10-15 04:00:00,4.0,urgent,131.0,3.0,,
T-167962,2023-11-09,2023-11-10 08:00:00,32.0,high,143.0,3.0,,
t-1760ba,2023-08-03,2023-08-04 12:00:00,36.0,medium,,3.0,,
T-a231f8,2023-04-19,2023-04-19 22:00:00,22.0,high,177.0,,,
,2023-12-31,2024-01-01 14:00:00,38.0,medium,19.0,3.0,,
T-FE8AF7,2023-10-13,2023-10-14 00:00:00,24.0,low,33.0,3.0,,
T-a427d8,2023-03-24,2023-03-24 05:00:00,5.0,high,61.0,3.0,,
T-30b4eb,2024-12-30,2024-12-30 12:00:00,12.0,medium,37.0,,,
T-abb562,2023-09-08,2023-09-08 12:00:00,12.0,low,6.0,5.0,,
T-a819c9,2023-07-11,2023-07-13 14:00:00,62.0,urgent,38.0,,,
T-36d4a7,2024-07-07,2024-07-08 13:00:00,37.0,urgent,130.0,,,
T-5c2f82,,2023-12-15 20:00:00,68.0,urgent,143.0,4.0,,
T-701980,2023-09-15,2023-09-15 20:00:00,20.0,low,125.0,,,
T-5f6c15,2024-12-25,2024-12-25 05:00:00,5.0,medium,26.0,3.0,,
T-07593c,2023-11-24,2023-11-24 11:00:00,11.0,medium,145.0,3.0,,
T-6807e7,2023-08-23,2023-08-23 16:00:00,16.0,low,118.0,4.0,,
T-027d8f,2024-03-23,2024-03-24 20:00:00,44.0,urgent,27.0,,,
,2024-03-28,2024-03-28 12:00:00,,medium,56.0,,,
T-763f2d,2023-06-22,,64.0,medium,141.0,3.0,,
T-196fca,2024-04-27,2024-04-29 13:00:00,61.0,high,22.0,3.0,,
T-b2adad,2024-10-29,2024-10-31 09:00:00,57.0,medium,20.0,5.0,,
T-37b69f,2024-05-21,2024-05-21 01:00:00,1.0,urgent,114.0,4.0,,
T-f873ff,2023-04-21,2023-04-22 16:00:00,40.0,low,73.0,4.0,,
,2023-10-26,2023-10-27 23:00:00,47.0,medium,30.0,,,
T-b29471,,2023-06-12 16:00:00,40.0,high,53.0,4.0,,
T-c32093,2023-01-27,2023-01-27 08:00:00,8.0,urgent,41.0,,,
T-f0f18c,2023-03-31,2023-04-02 16:00:00,64.0,high,137.0,,,
T-4c7b15,2023-01-22,2023-01-24 02:00:00,50.0,low,126.0,5.0,,
T-ca36f7,,2023-03-01 14:00:00,38.0,,108.0,4.0,,
T-a1bab0,2023-04-25,2023-04-27 02:00:00,50.0,medium,141.0,4.0,,
T-5daa6c,2024-04-28,2024-04-29 08:00:00,32.0,low,157.0,,,
T-ea0979,2024-06-30,2024-07-01 14:00:00,38.0,urgent,,,,
t-308071,2023-04-16,,35.0,high,10.0,3.0,,
T-ed091b,2023-08-12,2023-08-14 10:00:00,58.0,medium,129.0,4.0,,
T-FD14D8,2023-06-21,2023-06-23 01:00:00,49.0,,178.0,,,
t-3a3a53,2024-12-18,2024-12-19 02:00:00,26.0,medium,89.0,5.0,,
T-35ae60,2023-12-17,2023-12-19 22:00:00,70.0,medium,174.0,,,
T-93f5f0,2023-08-04,2023-08-04 05:00:00,5.0,,20.0,,,
T-0a835d,2023-11-06,2023-11-08 08:00:00,56.0,low,14.0,,,
T-a79931,2023-08-23,2023-08-25 05:00:00,53.0,,94.0,4.0,,
T-54b348,2023-05-31,2023-06-02 07:00:00,55.0,low,,,,
T-ee77ae,2024-05-17,2024-05-19 03:00:00,51.0,low,87.0,,,
T-fb798a,2024-11-07,2024-11-07 09:00:00,9.0,medium,64.0,,,
T-b0b086,2023-02-18,2023-02-19 11:00:00,35.0,medium,65.0,5.0,,
T-6de710,,,42.0,low,55.0,,,
,2024-03-04,2024-03-05 01:00:00,25.0,low,46.0,,,
T-041287,2024-07-15,2024-07-17 22:00:00,70.0,urgent,19.0,4.0,,
T-496c6b,2024-08-23,2024-08-25 21:00:00,69.0,low,150.0,3.0,,
T-d92e2e,2024-07-18,2024-07-20 19:00:00,67.0,high,67.0,4.0,,
T-6f8270,2023-11-11,2023-11-14 00:00:00,72.0,high,118.0,3.0,,
T-2a21f8,,2024-05-30 08:00:00,8.0,medium,92.0,4.0,,
,2023-10-05,2023-10-05 03:00:00,3.0,urgent,160.0,,,
T-bdbc42,2024-09-09,2024-09-11 14:00:00,62.0,urgent,90.0,4.0,,
T-996921,2024-11-13,2024-11-14 17:00:00,41.0,urgent,124.0,5.0,,
T-c722ef,2023-09-17,2023-09-17 18:00:00,18.0,low,69.0,,,
 T-100066    ,2023-01-11,2023-01-13 00:00:00,48.0,high,,,,
T-51307E,2023-09-15,2023-09-16 16:00:00,40.0,low,93.0,,,
T-e545b2,2024-01-09,2024-01-10 21:00:00,45.0,low,158.0,5.0,,
,2023-04-25,,63.0,low,138.0,3.0,,
T-287b04,2023-05-07,2023-05-08 01:00:00,25.0,low,,,,
T-2c61f3,2024-06-29,2024-06-29 16:00:00,16.0,high,180.0,3.0,,
,2024-03-31, 2024-04-02 22:00:00    ,70.0,urgent,13.0,3.0,,
T-a7489c,2024-01-24,2024-01-26 20:00:00,68.0,high,72.0,,,
T-011d5c,2023-05-13,2023-05-15 15:00:00,63.0,urgent,34.0,3.0,,
T-af4249,,2023-10-04 18:00:00,66.0,low,180.0,3.0,,
T-2904e8,2024-11-11,2024-11-11 20:00:00,20.0,,144.0,,,
T-a9333e,2024-09-06,2024-09-09 00:00:00,72.0,medium,77.0,,,
T-4d5bca,2023-01-29,2023-01-31 13:00:00,61.0,urgent,139.0,,,
T-f0d824,,2023-12-02 04:00:00,28.0,urgent,165.0,3.0,,
T-05b5f6,,2024-03-06 16:00:00,40.0,high,137.0,,,
T-246510,2024-09-29,2024-09-30 17:00:00,41.0,high,160.0,5.0,,
t-e7f66c,2023-04-25,2023-04-27 04:00:00,52.0,low,136.0,,,
T-dcb2e1,2023-10-10,2023-10-12 13:00:00,61.0,medium,78.0,3.0,,
T-0e3932,2024-12-09,2024-12-09 11:00:00,11.0,medium,,4.0,,
T-52fd00,2023-01-29,2023-01-29 07:00:00,7.0,medium,49.0,,,
T-d5e01b,2023-12-29,2023-12-29 01:00:00,1.0,,177.0,,,
T-5a765e,2024-02-27,2024-02-29 23:00:00,71.0,high,38.0,5.0,,
,2023-09-15,2023-09-15 01:00:00,1.0,urgent,92.0,,,
T-30ab22,2023-09-01,2023-09-03 05:00:00,,high,146.0,,,
T-a1ebca,2024-12-10,2024-12-11 08:00:00,32.0,medium,43.0,4.0,,
T-d9e588,2024-08-01,2024-08-01 07:00:00,7.0,low,117.0,3.0,,
T-765765,2023-08-13,2023-08-14 20:00:00,44.0,high,120.0,,,
T-848076,2023-10-31,2023-10-31 08:00:00,8.0,low,105.0,3.0,,
T-00644f,2023-05-22,2023-05-24 18:00:00,66.0,medium,62.0,,,
T-ec469a,2023-07-10,2023-07-12 04:00:00,52.0,urgent,72.0,5.0,,
t-d1c41b,2023-03-22,,24.0,high,68.0,,,
T-090534,2023-11-30,2023-11-30 07:00:00,7.0,urgent,143.0,4.0,,
T-367cc3,2024-08-31,2024-08-31 01:00:00,1.0,medium,159.0,5.0,,
T-f86b35,2024-09-13,,11.0,urgent,108.0,,,
T-e23a37,2023-05-11,2023-05-11 13:00:00,,high,55.0,,,
T-776916,2023-06-12,2023-06-14 17:00:00,65.0,medium,,5.0,,
T-0854f6,2024-01-31,2024-02-02 19:00:00,,urgent,178.0,3.0,,
T-2c34c5,2023-08-29,,65.0,low,34.0,,,
T-270c25,2023-12-19,2023-12-21 21:00:00,69.0,high,56.0,,,
T-F3E69B,2024-10-03,2024-10-05 19:00:00,67.0,medium,70.0,,,
T-2987d9,2023-04-17,,30.0,urgent,155.0,,,
T-da63ee,2023-01-30,2023-01-31 09:00:00,33.0,high,79.0,,,
T-44b600,2023-07-14,2023-07-16 16:00:00,64.0,medium,136.0,,,
T-4d0d5b,2024-12-06,2024-12-06 12:00:00,12.0,urgent,126.0,4.0,,
T-7cca37,2024-10-02,2024-10-03 16:00:00,40.0,,128.0,5.0,,
T-122749,2024-01-14,2024-01-15 19:00:00,43.0,low,77.0,,,
,2024-01-25,,13.0,medium,171.0,,,
T-86e757,,2023-10-31 03:00:00,51.0,high,,,,
T-13e2c4,2024-03-17,2024-03-19 23:00:00,71.0,medium,29.0,5.0,,
T-df9759,2024-12-30,2024-12-30 15:00:00,15.0,medium,86.0,3.0,,
,2024-11-21,2024-11-23 02:00:00,50.0,high,39.0,4.0,,
T-e57828,2023-04-16,2023-04-17 19:00:00,43.0,,52.0,,,
T-fc25d0,2024-08-17,2024-08-19 13:00:00,61.0,high,138.0,,,
T-743f15,2024-12-21,,64.0,,2.0,,,
T-9bbea1,2023-02-06,2023-02-08 04:00:00,52.0,low,172.0,,,
T-9bf64e,2023-10-07,2023-10-08 05:00:00,29.0,high,,,,
T-7cefd9,,2023-04-02 15:00:00,63.0,medium,146.0,5.0,,
T-9717fc,2024-05-11,2024-05-13 09:00:00,,medium,145.0,,,
T-b43464,2024-07-15,2024-07-17 20:00:00,68.0,high,,3.0,,
T-29abed,2024-03-28,2024-03-30 02:00:00,50.0,urgent,39.0,5.0,,
T-4e24d4,2023-05-29,2023-05-31 18:00:00,66.0,urgent,75.0,,,
T-990f20,2024-08-15,,28.0,medium,42.0,3.0,,
T-618d10,2024-09-25,2024-09-25 19:00:00,19.0,urgent,130.0,,,
T-9736d7,,2023-08-12 19:00:00,19.0,medium,66.0,,,
 T-7a48cd    ,2024-07-27,2024-07-29 18:00:00,66.0,medium,37.0,,,
T-8f1182,,2023-05-27 02:00:00,50.0,high,98.0,,,
T-926ee8,2023-06-17,2023-06-19 20:00:00,68.0,high,9.0,,,
T-21c5ae,2024-11-18,,37.0,urgent,77.0,4.0,,
T-7d1efb,2023-12-18,2023-12-19 22:00:00,46.0,medium,16.0,,,
T-bad86e,2024-09-10,,68.0,high,144.0,,,
T-818ae1,2024-07-27,2024-07-29 09:00:00,57.0,low,55.0,,,
T-e1cf37,2023-04-13,2023-04-15 20:00:00,68.0,high,72.0,3.0,,
T-104009,2023-08-21,2023-08-23 07:00:00,55.0,high,82.0,,,
T-2b7d40,2023-04-23,2023-04-25 00:00:00,48.0,medium,65.0,,,
T-b4f3d9,2023-08-03,2023-08-03 05:00:00,5.0,low,,5.0,,
T-d6ab6c,2023-12-05,2023-12-05 06:00:00,6.0,urgent,58.0,3.0,,
T-62b1dd,2024-12-27,2024-12-29 19:00:00,67.0,medium,112.0,4.0,,
T-cd4a87,2023-04-08,2023-04-09 21:00:00,45.0,urgent,38.0,3.0,,
T-3aa54d,,2024-06-27 16:00:00,64.0,,177.0,5.0,,
,2023-01-07,2023-01-08 04:00:00,28.0,medium,112.0,3.0,,
T-8e435c,2023-06-16,2023-06-17 11:00:00,35.0,high,115.0,3.0,,
T-32b901,,2024-11-16 01:00:00,49.0,high,1.0,,,
,2024-06-14,2024-06-16 22:00:00,70.0,high,11.0,4.0,,
T-316da7,2024-01-15,2024-01-16 11:00:00,35.0,high,,4.0,,
T-3517a8,,2023-07-30 04:00:00,52.0,medium,43.0,,,
T-86c6c6,2023-08-05,2023-08-07 11:00:00,59.0,high,22.0,4.0,,
T-565965,2023-01-11,2023-01-12 17:00:00,41.0,urgent,42.0,4.0,,
T-096b66,2023-06-27,2023-06-27 06:00:00,6.0,urgent,69.0,,,
,2023-08-17,2023-08-19 19:00:00,67.0,medium,101.0,4.0,,
T-495585,2024-01-27,2024-01-27 23:00:00,23.0,medium,31.0,3.0,,
T-502019,,2024-09-23 20:00:00,20.0,low,18.0,,,
T-b6d93a,2023-02-24,2023-02-25 10:00:00,34.0,low,35.0,,,
T-d5352f,2023-01-23,2023-01-25 05:00:00,53.0,high,148.0,3.0,,
T-5f94dd,2024-12-31,2024-12-31 13:00:00,13.0,high,149.0,4.0,,
T-d0ff21,2023-07-11,2023-07-12 10:00:00,34.0,medium,40.0,5.0,,
T-1d7cfb,,2024-08-11 15:00:00,15.0,urgent,,5.0,,
,2023-01-11,2023-01-12 19:00:00,43.0,medium,132.0,3.0,,
T-0c378b,2023-12-04,2023-12-05 17:00:00,41.0,low,169.0,,,
T-bde8aa,2024-08-01,2024-08-02 07:00:00,31.0,high,133.0,,,
T-bf01b8,2024-06-21,2024-06-21 19:00:00,19.0,,30.0,4.0,,
T-926f27,2024-10-05,2024-10-07 16:00:00,64.0,low,127.0,3.0,,
T-952A1A,2023-06-04,2023-06-06 15:00:00,63.0,high,168.0,4.0,,
T-361edc,2023-03-18,2023-03-18 23:00:00,23.0,low,112.0,,,
,2024-02-12,2024-02-12 03:00:00,,urgent,88.0,,,
T-9bfb24,2024-07-02,2024-07-04 20:00:00,68.0,high,2.0,5.0,,
T-abcd41,2024-11-01,2024-11-02 12:00:00,36.0,medium,44.0,,,
T-5b0ebb,2023-03-22,2023-03-23 05:00:00,29.0,high,17.0,,,
T-2e5c7e,2024-09-04,2024-09-06 15:00:00,63.0,,136.0,,,
T-ac4493,2023-08-12,2023-08-14 05:00:00,53.0,medium,172.0,4.0,,
T-6f11a3,2023-05-13,2023-05-15 10:00:00,,urgent,18.0,,,
T-88949f,,2024-10-27 19:00:00,43.0,low,173.0,,,
T-d612f3,2024-05-19,2024-05-19 18:00:00,18.0,low,1.0,3.0,,
T-c127ef,2024-10-01,2024-10-02 01:00:00,25.0,,,4.0,,
T-6858fa,2024-05-04,2024-05-05 00:00:00,24.0,medium,51.0,,,
T-6db7d8,2023-12-06,2023-12-07 02:00:00,26.0,urgent,68.0,3.0,,
T-ad4ec7,2024-02-28,2024-02-28 12:00:00,,low,62.0,3.0,,
T-a51205,2023-07-04,2023-07-05 18:00:00,42.0,urgent,76.0,,,
T-4dd126,2024-06-27,2024-06-28 12:00:00,36.0,medium,123.0,,,
T-6750a4,2024-03-14,,37.0,low,101.0,,,
t-33d113,2024-08-11,,33.0,high,30.0,,,
T-58506b,2023-12-14,2023-12-14 13:00:00,13.0,urgent,124.0,4.0,,
 T-753ba1    ,2023-12-08,2023-12-08 19:00:00,19.0,high,29.0,,,
T-59d67b,2024-03-21,2024-03-23 00:00:00,48.0,urgent,17.0,3.0,,
T-6EC2A9,2023-06-21, 2023-06-23 22:00:00    ,70.0,low,3.0,,,
T-b1d1d0,2023-08-13,2023-08-14 01:00:00,25.0,urgent,128.0,3.0,,
T-130a82,2023-08-22,2023-08-23 01:00:00,25.0,,35.0,3.0,,
T-66d999,2023-06-26,2023-06-27 15:00:00,,urgent,41.0,5.0,,
,2024-07-11,2024-07-11 16:00:00,16.0,low,1.0,,,
T-342b36,2024-10-17,2024-10-19 13:00:00,61.0,low,177.0,5.0,,
t-223760,2023-04-01,,59.0,low,124.0,,,
T-9eb2b5,2024-01-16,2024-01-17 06:00:00,30.0,urgent,144.0,5.0,,
T-f3e7c5,2023-01-23,2023-01-23 17:00:00,17.0,urgent,119.0,5.0,,
T-116af1,2024-05-08,2024-05-10 04:00:00,52.0,urgent,93.0,,,
T-29279c,2023-02-20,2023-02-21 19:00:00,43.0,urgent,127.0,4.0,,
T-b0acc7,2023-08-27,2023-08-29 00:00:00,48.0,medium,126.0,4.0,,
T-d32d8c,2023-01-04,2023-01-05 01:00:00,25.0,urgent,55.0,4.0,,
