,usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
102,U-a92688,S-70af60,2024-07-14,feature_25,5.0,815.0,1.0,False
103,U-28d115,S-38c5fd,2024-08-18,feature_31,9.0,1629.0,0.0,False
104,U-9ec98a,S-8a6579,2023-10-10,feature_22,3.0,969.0,0.0,False
105,U-e377bf,S-6587d8,2024-11-04,feature_7,8.0,4248.0,0.0,False
106,U-b39242,S-969f4c,2023-06-22,feature_31,5.0,855.0,0.0,False
107,U-f67d78,S-d0c344,2023-02-25,feature_12,9.0,5121.0,0.0,False
108,U-6b41f7,S-e36ccb,2024-09-21,feature_19,8.0,4432.0,0.0,True
109,U-5C5044,S-425607,2024-10-02,feature_15,13.0,1859.0,0.0,False
110,U-62568a,S-22014f,2023-03-02,feature_17,15.0,1425.0,1.0,
111,U-d352f7,S-bc7cab,2023-10-13,feature_32,10.0,2900.0,,False
112,U-7eebdf,S-023f5f,2023-05-15,feature_34,11.0,1287.0,0.0,
113,U-b22092,S-d449e1,2024-03-07,feature_24,10.0,5960.0,0.0,
114,U-93c6a4,S-66bae1,2024-12-28,feature_13,13.0,195.0,,
115,U-0947d6,S-bcbe03,2024-10-04,feature_1,7.0,945.0,0.0,False
116,U-43761f,S-ff78bf,2024-10-11,feature_14,,448.0,1.0,True
117,U-b01e54,S-455183,2024-12-13,feature_10,9.0,2061.0,,
118,U-3e8544,S-7d2c1b,2023-05-14,feature_29,11.0,5654.0,0.0,False
119,U-6b0253,S-e78c09,2023-05-11,feature_7,12.0,3048.0,2.0,False
120,U-b4d3c5,S-5d5699,2023-07-18,feature_3,7.0,966.0,,False
121,U-17b2c9,S-2881e0,2023-04-06,feature_27,11.0,3828.0,0.0,True
122, U-691b21    ,S-0de78a,2024-02-21,feature_17,3.0,1230.0,0.0,
123,U-e8629b,S-1d63bf,2023-01-03,feature_4,11.0,3927.0,0.0,
124,U-d815de,S-6b1de8,2023-08-25,feature_29,15.0,,0.0,False
125,U-167026,S-af5ec3,2023-12-31,feature_26,8.0,824.0,0.0,False
126,U-65e223,S-6d4050,2023-08-18,feature_9,,693.0,2.0,False
127,U-DED235,S-faa8ec,2024-10-29,feature_11,5.0,480.0,0.0,False
128,U-780828,S-8fbabd,2024-11-30,feature_5,4.0,1940.0,0.0,False
129,U-fffbc1,S-51dd23,2024-01-23,feature_39,5.0,,0.0,True
130,U-37266b,S-b57a5e,2024-08-19,,19.0,4332.0,1.0,False
131,U-e65d2a,S-bfc0f8,2023-01-30,feature_17,13.0,3354.0,1.0,False
132,U-f633de,S-7d4d45,2023-10-10,feature_5,9.0,3609.0,4.0,False
133,U-709d9a,S-e2f1fd,2023-06-16,feature_10,11.0,6446.0,0.0,False
134,U-25ef2e,S-7b9b62,2023-07-27,,17.0,7378.0,1.0,False
135,U-98cfbf,S-10fc7d,2023-01-15,feature_33,13.0,806.0,0.0,False
136,U-8e343f,S-4d8633,2024-02-20,feature_36,5.0,1910.0,0.0,False
137,,S-0c47cb,2024-02-07,feature_30,10.0,,3.0,False
138,U-123e83,S-a5d1e3,2023-08-28,feature_26,,1771.0,0.0,False
139,,S-7d0dea,2024-08-07,feature_33,9.0,3672.0,0.0,False
140,U-f9497e,S-b91501,2024-01-06,feature_4,9.0,2835.0,0.0,False
141,U-eb4a83,S-02d6c8,2023-10-21,feature_17,11.0,3432.0,0.0,False
142,U-44acf2,S-695c1e,2024-03-27,feature_28,13.0,5265.0,1.0,False
143,U-006569,S-b1d153,2024-12-02,feature_20,9.0,1782.0,0.0,False
144,U-D91111,S-3ad221,2024-08-04,feature_27,15.0,5355.0,1.0,False
145,U-15bbd9,S-2923fc,2023-11-06,feature_39,10.0,3900.0,0.0,False
146,U-5a9e42,,2024-04-09,feature_13,5.0,685.0,1.0,
147,U-0f19cd,S-b1c57d,2024-01-30,feature_9,7.0,3143.0,1.0,False
148,U-c28b7f,S-2ba4ee,2023-04-01,feature_19,10.0,1550.0,0.0,
149,U-faa910,S-b01b1c,2023-08-10,feature_27,9.0,,1.0,True
150,U-260255,S-f28cde,2024-11-01,feature_36,7.0,2331.0,0.0,
151,U-bb48d0,S-16b6dc,2024-11-20,feature_10,12.0,1296.0,0.0,False
152,,S-a916c8,2024-06-09,feature_3,6.0,3306.0,0.0,False
153, U-384ace    ,S-a4139f,2024-08-31,feature_40,8.0,840.0,1.0,False
154,U-9e4889,S-12f05a,2023-06-01,feature_16,11.0,3553.0,0.0,False
155,U-b24f60,S-7b29d1,2024-11-04,feature_39,11.0,,0.0,False
156,,S-87ebe6,2023-09-27,feature_15,5.0,,0.0,False
157,U-a204d5,S-debbee,2023-12-13,,11.0,1562.0,0.0,False
158,U-183EF7,S-d6cffe,2024-04-16,feature_12,11.0,4169.0,1.0,False
159,U-ac8aef,S-8a9db8,2024-01-09,,9.0,2214.0,4.0,False
160,U-0178e0,S-e4ce2c,2023-09-09,feature_17,17.0,3604.0,0.0,False
161,U-29fb62,S-6b7aa4,2024-12-07,feature_16,10.0,840.0,0.0,False
162,U-9656e3,S-871e83,,feature_24,7.0,3822.0,0.0,False
163,U-259e01,S-11d922,2024-02-20,feature_2,7.0,2709.0,4.0,True
164,U-3ab851,S-aad754,2024-01-14,feature_30,15.0,6060.0,1.0,False
165,U-04745A,S-f1778c,2024-11-22,feature_18,12.0,6192.0,3.0,False
166,U-b3b4a4,S-4dae4f,2024-04-09,feature_26,6.0,,0.0,False
167,U-78de54,S-8b345c,2023-07-24,feature_24,8.0,2000.0,,False
168,U-dfc2a7,,2024-01-15,feature_37,9.0,4392.0,0.0,False
169,U-83e410,S-704cf3,,feature_25,14.0,7266.0,0.0,False
170,U-bc9c63,S-46526e,2023-03-07,,10.0,2180.0,0.0,False
171,U-F48199,S-9e7060,2023-05-10,feature_6,8.0,1488.0,0.0,False
172,U-b426f0,S-0144ac,2023-10-20,feature_24,5.0,135.0,0.0,False
173,U-b484bd,S-6c4770,2024-12-15,feature_1,6.0,3546.0,2.0,False
174,U-b4d7bc,S-802cc6,2024-09-25,feature_20,,6300.0,1.0,False
175,U-4a08b4,S-8ae507,2023-12-16,feature_12,9.0,3717.0,,False
176,,S-5450af,2023-05-27,feature_21,7.0,2695.0,5.0,False
177,U-a77713,S-97bc99,2024-01-26,feature_26,8.0,2512.0,,False
178,U-42ef12,S-97a57b,2023-07-06,feature_8,10.0,2500.0,0.0,False
179,U-C67E37,S-2372d2,,feature_18,9.0,1296.0,3.0,False
180,U-2e3df6,S-0638dc,2024-01-12,feature_38,13.0,1638.0,0.0,True
181,U-48baed,S-0a8acf,2023-07-05,feature_25,,910.0,1.0,False
182,U-62c766,S-a5d949,2023-02-23,feature_17,7.0,,3.0,False
183,,S-d71fe9,2023-07-20,feature_16,10.0,1660.0,1.0,False
184,U-42a464,S-628842,2023-04-30,feature_20,19.0,6251.0,2.0,
185,U-a12b4a,S-84e146,2023-08-07,,9.0,,0.0,False
186,,S-bbc0f7,,feature_15,13.0,6149.0,0.0,False
187,U-616f37,S-8f181e,2023-04-17,feature_2,11.0,385.0,1.0,False
188,U-99b91c,S-a2cd6a,2024-10-23,feature_8,8.0,4096.0,0.0,False
189,U-c0295f,S-59778a,2023-12-31,feature_11,7.0,1050.0,0.0,True
190,U-e19b2e,S-be601b,2023-03-23,feature_24,9.0,5103.0,0.0,False
191,U-48f986,S-62fa42,2023-04-05,feature_36,7.0,2044.0,0.0,False
192,U-690821,S-5ddf8d,2023-06-10,feature_14,11.0,4136.0,0.0,
193,U-6f9192,S-16a545,,feature_28,3.0,1566.0,1.0,False
194,U-D2B4EF,S-9b8167,,feature_18,10.0,5150.0,0.0,False
195,U-8d5b32,S-61a87e,2023-04-26,,8.0,1624.0,0.0,False
196,U-068eef,S-834097,2024-10-25,feature_2,12.0,6552.0,0.0,False
197,U-897937,S-7ba2ad,2023-12-16,feature_10,9.0,2088.0,2.0,
198,U-66Ad5C,S-e9257d,,feature_29,10.0,1400.0,0.0,
199,,S-2ebd06,2024-03-16,feature_26,8.0,2688.0,0.0,
200,U-931029,S-1bbf0a,2023-07-12,feature_13,8.0,3872.0,0.0,True
201,U-2722af,S-b3bd43,2023-04-25,feature_18,8.0,544.0,4.0,False
202,U-342dd1,S-fc1114,2024-10-06,feature_23,10.0,1610.0,0.0,
203,,S-ee30bb,2024-07-03,feature_5,9.0,270.0,0.0,False
204,U-049032,,2023-11-30,feature_34,11.0,,0.0,False
205,U-5686b9,S-f97609,2023-01-26,feature_10,13.0,6500.0,3.0,False
206,U-add9aa,S-f2d47e,2023-05-12,feature_5,11.0,3531.0,,False
207,U-36c7a4,S-c6d8ce,2023-11-24,feature_30,5.0,1020.0,0.0,False
208,U-ed15a8,S-9a8d01,2024-03-11,feature_2,12.0,,0.0,False
209,U-88b809,S-d07886,2024-08-10,feature_8,5.0,1135.0,0.0,False
210,U-0490cc,S-39b5ce,2024-06-25,feature_6,10.0,5110.0,0.0,
211,U-6267bd,S-10702d,2023-02-05,feature_13,12.0,1548.0,3.0,False
212, U-7bffd5    ,S-cd8a6a,,feature_40,9.0,3231.0,0.0,True
213,,S-aa7247,2024-12-27,feature_10,12.0,6420.0,3.0,False
214,u-6de5a2,S-de6767,2023-06-30,feature_2,19.0,3705.0,0.0,True
215,U-0a141e,S-bd2ab2,,feature_32,20.0,5140.0,0.0,
216,U-87ca79,S-b8fcc5,2023-05-11,feature_24,13.0,,0.0,False
217,U-72b902,S-022a1e,2023-08-29,,11.0,1958.0,0.0,False
218,U-52da99,S-9be237,2024-10-17,feature_29,8.0,,0.0,False
219,,S-503afa,2024-06-18,feature_39,7.0,1281.0,0.0,
220,U-a76823,S-79a9e1,2023-10-22,feature_24,6.0,,0.0,False
221,U-1e39f8,S-a9fb74,2023-12-29,feature_15,10.0,,2.0,False
222,U-ab4efe,S-fb95f2,2024-03-09,feature_28,8.0,752.0,1.0,False
223,U-E3FEFF,S-510999,2023-12-25,feature_3,6.0,2910.0,0.0,False
224,U-83174b,S-ed2bb5,2023-04-04,feature_4,8.0,4552.0,0.0,False
225,U-b7dda3,S-3aa11b,2023-02-16,feature_33,6.0,1176.0,0.0,False
226,U-71aedb,S-6ce794,,feature_32,,1408.0,0.0,True
227,U-10b0be,S-02984e,2023-06-12,feature_13,11.0,4345.0,0.0,False
228,u-4bdf83,S-2dad6b,2023-04-12,feature_1,10.0,5080.0,2.0,False
229,U-84496f,S-ca136e,2023-06-09,feature_26,,1284.0,2.0,False
230,U-2b76fa,S-08a5fd,2024-10-22,feature_36,12.0,2784.0,0.0,False
231,U-8f850b,S-6f43f7,,feature_36,11.0,2112.0,,False
232,U-5d4e12,S-36ad61,2024-05-19,feature_28,12.0,3276.0,0.0,False
233,,S-a2cd6a,2023-09-22,feature_26,9.0,4446.0,2.0,False
234,u-75e7bd,S-4d2011, 2023-11-29    ,feature_29,11.0,3003.0,1.0,False
235,,S-2d62ad,2023-05-29,feature_14,10.0,2260.0,,False
236,U-ed3e27,S-69cc68,2023-05-26,feature_11,9.0,4725.0,0.0,False
237,U-755e42,S-c7f564,2024-10-11,feature_7,10.0,3040.0,,False
238,U-1533e3,S-cc4bf0,2023-06-07,feature_23,7.0,,1.0,True
239,U-A0C7Fb,S-004eb4,,feature_12,8.0,,1.0,False
240,U-c1baa6,S-9c06f8,2024-02-19,feature_4,9.0,3519.0,0.0,True
241,U-9f3718,S-567afa,2024-09-24,feature_22,11.0,2431.0,3.0,False
242,,S-a2ee32,2024-11-02,feature_4,,4836.0,0.0,False
243,u-a1cddd,S-7e2e5c,,feature_31,13.0,3315.0,2.0,False
244,U-9f3c2a,S-39e88c,2024-10-25,,16.0,8784.0,0.0,
245,U-35c6b9,S-3e54f5,2023-10-06,feature_26,9.0,4572.0,0.0,False
246,U-7db4a5,S-ee4c5c,2023-04-18,,5.0,55.0,0.0,True
247,U-5d6a94,S-86e45a,2024-11-16,,11.0,2629.0,5.0,False
248,,S-14a685, 2023-11-09    ,feature_8,11.0,6380.0,1.0,False
249,U-ff8c99,S-164594,2023-06-02,feature_1,,1092.0,0.0,False
250,U-62df4c,S-0e057d,2024-01-30,feature_12,14.0,5810.0,0.0,False
251,U-d00bfb,S-863c87,2024-06-04,feature_19,9.0,3717.0,0.0,False
252,U-fb4e9a,S-3cae3d,2024-08-07,feature_31,9.0,3411.0,2.0,False
253,U-8986cb,,2023-03-06,feature_21,12.0,3456.0,0.0,False
254,U-6d805b,S-51cb35,2023-02-16,feature_24,5.0,1655.0,0.0,False
255,U-79899d,S-afed2d,2024-08-05,feature_5,,2013.0,0.0,False
256,U-a2b48e,S-175429,2024-01-13,feature_6,14.0,6202.0,0.0,False
257,U-c3fd6c,S-79123c,2023-03-15,feature_5,19.0,11096.0,1.0,False
258,,S-106283,2023-12-04,feature_28,9.0,,1.0,False
259,U-90ec66,S-c7f564,2024-08-06,feature_6,8.0,4760.0,2.0,False
260,U-14fdac,S-c22c29,2024-08-29,feature_14,6.0,1998.0,0.0,False
261,U-163a57,S-2ded06,2024-07-14,,10.0,3710.0,0.0,False
262,U-83c8dd,S-404ecd,,feature_31,9.0,45.0,0.0,True
263,U-c09fa9,S-8fcce1,2023-01-19,feature_17,,1239.0,0.0,False
264,,S-497428,2023-06-12,feature_1,7.0,539.0,0.0,False
265,U-9959d2,S-c7e38a,2023-04-09,feature_9,,768.0,0.0,False
266,U-7CCCEC,,2023-11-11,feature_5,2.0,422.0,0.0,False
267,U-e7e6cf,S-b3f236,2023-09-07,feature_28,11.0,4598.0,0.0,False
268,U-2782df,S-a87ff6,2024-06-28,feature_37,7.0,3283.0,0.0,False
269,U-0be9f7,S-9ce22d,2023-02-07,feature_37,14.0,7560.0,2.0,False
270,U-0b97fe,S-a2fb62,2023-08-09,feature_5,8.0,1384.0,,False
271,U-abbb90,S-01fa46,2024-05-17,feature_31,10.0,2410.0,2.0,False
272,,S-39bb68,2024-09-08,feature_12,8.0,1120.0,0.0,False
273,U-eebe0e,S-0c9fdd,2024-10-29,feature_25,16.0,528.0,0.0,False
274,,S-5281ee,2023-12-14,feature_37,7.0,3836.0,0.0,False
275,U-ec16ce,S-f76252,2024-09-28,feature_31,6.0,3372.0,,False
276,U-716ed9,S-6bd42d,2023-12-27,feature_16,10.0,2170.0,1.0,False
277,U-7d5257,S-929a7c,,feature_20,6.0,1272.0,0.0,False
278,U-Aa639B,S-ca0eb1,2024-09-09,feature_6,6.0,2376.0,0.0,False
279,U-669106,S-7b2efe,2023-11-13,feature_13,14.0,504.0,1.0,False
280,u-6a440d,S-a408fe,2024-11-19,feature_38,11.0,3817.0,0.0,False
281,U-73f882,,2023-08-27,feature_8,12.0,1836.0,0.0,False
282,U-DE0E81,S-2d4edf, 2023-06-12    ,,8.0,600.0,0.0,False
283,U-139a49,S-9bf1a0,2023-01-25,feature_23,8.0,4016.0,0.0,False
284,U-5b948f,S-4695b8,,feature_19,12.0,6972.0,3.0,
285, U-721e8c    ,S-f409d8,2023-10-18,feature_31,5.0,60.0,0.0,False
286,U-d5d63e,S-2ccc04,2023-01-02,feature_9,9.0,3915.0,1.0,False
287,U-ac9343,S-d8165b,2024-04-20,feature_26,7.0,2226.0,,False
288,U-bae3d5,S-a18bb2,2024-07-11,feature_28,14.0,7182.0,1.0,False
289,U-1d5daf,S-5901a1,2023-11-01,feature_37,9.0,4167.0,0.0,False
290,U-21c6ad,S-9d727d,2024-04-05,feature_20,10.0,960.0,0.0,False
291,U-8a9ccc,,2023-07-26,feature_25,11.0,,1.0,False
292,,S-a50803,2024-12-08,feature_3,,3216.0,2.0,False
293,U-a533f2,S-e90e70,2023-02-03,feature_2,7.0,,0.0,False
294,U-7f928f,S-151fce,2023-12-28,feature_21,13.0,2990.0,1.0,False
295,U-dd1ee2,S-cfedb3,2023-07-23,feature_3,13.0,5200.0,1.0,False
296,U-8b15aa,S-02a3aa,2024-08-01,feature_28,11.0,2145.0,0.0,False
297,U-13530c,S-d638c7,2024-03-27,feature_6,11.0,1287.0,0.0,False
298,U-d4d5be,S-32e8fa,2024-10-27,feature_23,10.0,1450.0,0.0,False
299,U-dfb84b,S-c41b43,2024-12-13,feature_25,8.0,1864.0,0.0,False
300,U-15e557,S-c696fa,2023-07-30,feature_4,11.0,4224.0,0.0,False
301,U-85c1ce,S-35752e,2024-04-22,feature_1,13.0,2444.0,0.0,False
302,U-3fb874,S-511e50,2023-12-25,feature_8,5.0,850.0,0.0,False
303,U-2c0517,S-0802a4,2023-06-14,feature_30,7.0,2996.0,,False
304,U-c6137a,S-d85c2f,2024-03-12,feature_20,16.0,,1.0,False
305,U-8a0d40,S-33eb1d,2023-11-18,feature_40,11.0,3311.0,0.0,False
306,,S-31d8aa,,feature_36,,5292.0,0.0,False
307,U-9e957e,S-858aa0,2024-09-18,feature_26,7.0,2534.0,3.0,False
308,U-2091c5,S-d6cffe,2024-02-28,feature_28,14.0,,0.0,False
309,,,2023-12-05,feature_17,11.0,,1.0,False
310,U-a16319,S-d1b062,2023-11-11,feature_17,6.0,,2.0,False
311,U-746dd6,S-adf00a,2024-09-18,feature_8,,4920.0,2.0,False
312,U-f00feb,S-a3455c,2024-09-09,feature_38,9.0,2295.0,2.0,False
313,U-dba328,S-f783b6,2023-09-06,feature_17,10.0,2870.0,1.0,False
314,U-c72a1a,S-66a834,2024-04-06,feature_19,12.0,2832.0,0.0,False
315,U-893332,S-fb0905,,feature_27,12.0,3300.0,0.0,False
316,U-ed1d69,S-9b2c95,2024-06-22,feature_36,8.0,1440.0,0.0,False
317,U-f788e6,S-92e8cb,2023-08-18,feature_4,7.0,2387.0,2.0,False
318,U-735684,S-0896f4,2024-03-06,,,3944.0,0.0,False
319,U-39d415,S-9dbe8c,2024-08-12,feature_35,9.0,4851.0,0.0,False
320,U-bf0205,S-b45a10,2023-10-04,feature_7,,2340.0,0.0,False
321,U-ed175a,S-aa5f00,2023-04-17,feature_1,16.0,9424.0,0.0,False
322,U-c6d2b4,S-3c9a70,,feature_4,11.0,2002.0,1.0,False
323,U-baf889,S-f1aa04,,feature_3,6.0,2970.0,2.0,False
324,,S-25ec8c,2023-11-05,feature_34,8.0,2888.0,0.0,False
325,U-67cb5b,S-08f8d3,2023-10-21,feature_27,8.0,3072.0,0.0,False
326,U-f082ec,S-37b367,2024-04-28,feature_38,10.0,1400.0,0.0,False
327,U-be625d,,2023-02-08,feature_16,8.0,120.0,0.0,
328,U-53acc0,S-07abdd,2023-11-06,feature_18,5.0,2925.0,0.0,
329,U-da91cc,S-1f4c01,2023-11-08,feature_25,11.0,770.0,0.0,
330,U-f86b7c,S-e002a1,2024-09-17,,8.0,4680.0,3.0,False
331,U-13c9a6,S-4d9635,2023-01-29,feature_10,8.0,2952.0,0.0,False
332,U-92dfae,S-82eb3e,2023-05-20,feature_8,11.0,2343.0,0.0,False
333, U-eee6be    ,S-620b62,2023-12-08,feature_26,9.0,3321.0,0.0,False
334,U-81dc8e,S-4c8e19,2024-12-24,feature_39,7.0,2842.0,0.0,False
335,,S-de473d,2023-12-05,feature_38,11.0,3850.0,1.0,
336,,S-ea9f08,2023-01-03,feature_36,9.0,4005.0,2.0,
337,U-71c2d1,S-9714fa,2024-08-10,feature_40,,1596.0,0.0,False
338,U-7f8280,S-f74ac6,2023-09-25,feature_24,13.0,7410.0,0.0,False
339,U-36c307,S-89e98a,2023-07-13,feature_17,7.0,2380.0,2.0,True
