gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count,churn,customer_id
 Male    ,24.0,Germany,,Individual,48.0,,Monthly,19.0,6.0,13.991212386315038,4.0,0.22,4.0,30.0,1440.0, Card    ,1.0,No,Yes,1.0,26.91982224732825,,3.0,0.0,0.55,0.26,-16.0,Neutral,0.0,0.0,CUST_00014
Female,22.0,Germany,Delhi,Individual,,Referral,Yearly,32.0,7.0,9.025836761320804,,0.0,,30.0,60.0,Card,2.0,No,No,2.0,30.95588452025188,,3.0,0.0,0.21,0.19,55.0,Neutral,1.0,0.0,CUST_00015
Male,28.0,USA,Toronto,Enterprise,14.0,Mobile,Monthly,14.0,2.0,16.185839364714774,4.0,0.11,20.0,20.0,280.0,Card,1.0,,,0.0,42.7623883351522,Technical,4.0,,0.71,0.36,-30.0,Satisfied,,0.0,CUST_00016
,,Australia,New York,Individual,4.0,Web,Monthly,1.0,7.0,17.421436539865446,7.0,-0.08,12.0,30.0,120.0,Bank Transfer,0.0,Yes,No,1.0,36.61299125758428,,3.0,0.0,0.32,0.13,3.0,Unsatisfied,0.0,1.0,CUST_00017
Female,20.0,Australia,,Individual,3.0,Referral,Yearly,9.0,0.0,18.70103140272973,7.0,-0.03,0.0,70.0,210.0,Bank Transfer,1.0,Yes,No,2.0,41.268949169905504,Technical,3.0,0.0,0.61,0.47,60.0,Satisfied,,0.0,CUST_00018
Female,22.0,Germany,Toronto,Individual,3.0,Web,Yearly,21.0,7.0,20.333383249273236,7.0,0.0,0.0,30.0,90.0,PayPal,0.0,Yes,,1.0,40.22396316663823,Service,4.0,0.0,0.89,0.41,,Satisfied,2.0,0.0,CUST_00019
Male,40.0,UK,Sydney,Individual,11.0,,Monthly,22.0,1.0,10.63221144303896,2.0,-0.11,0.0,10.0,110.0,Card,0.0,,No,4.0,15.011731251479317,Technical,3.0,1.0,0.21,0.2,61.0,,2.0,0.0,CUST_00020
Female,70.0,UK,London,Individual,5.0,Mobile,Quarterly,21.0,7.0,22.010395319376588,6.0,,0.0,30.0,150.0,PayPal,1.0,No,No,0.0,32.14156915876213,,3.0,0.0,,0.3,-12.0,Neutral,1.0,0.0,CUST_00021
Male,54.0,USA,London,SME,48.0,Web,Monthly,32.0,6.0,14.493707850010871,2.0,-0.28,3.0,10.0,480.0,Bank Transfer,2.0,No,Yes,0.0,,,5.0,2.0,0.81,0.36,,Satisfied,1.0,0.0,CUST_00022
Female,26.0,UK,,SME,55.0,Web,Quarterly,21.0,5.0,,3.0,,2.0,70.0,3850.0,,0.0,Yes,No,2.0,22.11248788096376,Technical,4.0,1.0,0.85,0.41,22.0,Satisfied,0.0,0.0,CUST_00023
Female,32.0,UK,Toronto,Individual,29.0,Referral,Monthly,23.0,2.0,10.579038891079623,3.0,-0.04,,30.0,870.0,Card,1.0,No,No,0.0,7.510576743122932,Technical,4.0,0.0,0.62,0.14,18.0,Satisfied,0.0,0.0,CUST_00024
Female,20.0,UK,Dhaka,SME,28.0,Web,Monthly,29.0,1.0,27.014611022290183,3.0,0.13,11.0,,1400.0,PayPal,1.0,No,No,1.0,22.870343209463652,Billing,2.0,0.0,0.57,0.44,-3.0,Satisfied,,0.0,CUST_00025
Female,46.0,Canada,New York,SME,23.0,Referral,Quarterly,3.0,2.0,18.530485715499985,5.0,-0.05,1.0,,230.0,Card,1.0,,No,3.0,28.12195843508985,Billing,3.0,,0.83,0.5,44.0,Neutral,2.0,0.0,CUST_00026
Female,23.0,USA,Toronto,Enterprise,30.0,Referral,Quarterly,27.0,6.0,15.788155628849376,6.0,0.06,8.0,20.0,600.0,Bank Transfer,1.0,Yes,No,3.0,13.018917488324975,,1.0,1.0,,0.28,4.0,Neutral,,0.0,CUST_00027
Female,,Germany,,Individual,23.0,Referral,Monthly,33.0,2.0,6.510632970876996,5.0,-0.03,28.0,30.0,690.0,PayPal,0.0,No,No,0.0,28.82301279621892,Service,3.0,0.0,0.31,0.38,68.0,Unsatisfied,1.0,0.0,CUST_00028
Female,43.0,UK,Delhi,Individual,51.0,Referral,Monthly,27.0,6.0,22.60695942001968,4.0,-0.14,8.0,10.0,510.0,Card,1.0,No,,0.0,29.16801122584152,Billing,4.0,1.0,0.23,0.04,34.0,Satisfied,1.0,0.0,CUST_00029
Female,38.0,India,Sydney,SME,41.0,,Yearly,23.0,3.0,7.405863696755413,4.0,0.04,6.0,10.0,410.0, Card    ,0.0,Yes,No,1.0,27.26873149783884,,4.0,1.0,0.68,0.37,38.0,Neutral,,,CUST_00030
Male,25.0,Bangladesh,Berlin,Individual,22.0,Mobile,,28.0,7.0,30.52033151327268,5.0,0.03,16.0,70.0,1540.0,,0.0,No,No,1.0,24.020495392937654,,5.0,0.0,0.58,0.48,-65.0,Neutral,1.0,0.0,CUST_00031
Male,38.0,Canada,New York,Individual,43.0,Referral,Quarterly,0.0,2.0,20.12920706749512,6.0,0.16,17.0,10.0,430.0,Card,1.0,No,No,,8.215345852025811,Technical,3.0,1.0,0.85,,1.0,Satisfied,2.0,0.0,CUST_00032
Female,74.0,,london,SME,12.0,Web,Monthly,18.0,4.0,5.868476305884711,6.0,0.24,4.0,,360.0,,0.0,No,No,1.0,19.83159490120358,billing,4.0,1.0,0.11,,-25.0, Satisfied    ,,0.0,CUST_00033
Female,28.0,Bangladesh,Delhi,Individual,27.0,Web,,7.0,6.0,16.49188560465506,,0.36,1.0,70.0,1890.0,Card,2.0,Yes,Yes,1.0,24.54622209579724,Technical,3.0,1.0,0.86,0.47,-36.0,Unsatisfied,1.0,0.0,CUST_00034
Female,55.0,Bangladesh,London,Individual,58.0,Mobile,Monthly,23.0,4.0,28.769626145819707,6.0,0.07,17.0,10.0,580.0,Card,0.0,No,No,1.0,24.774432124096364,,2.0,0.0,0.6,0.18,59.0,Satisfied,0.0,0.0,CUST_00035
Male,25.0,Canada,Delhi,Individual,59.0,Mobile,Monthly,9.0,2.0,,5.0,0.08,14.0,70.0,4130.0,Card,1.0,No,No,0.0,23.51186036939556,Billing,3.0,0.0,0.52,0.09,74.0,Neutral,1.0,0.0,CUST_00036
Female,59.0,USA,London,SME,40.0,Mobile,,28.0,5.0,12.492295115448368,5.0,0.06,11.0,20.0,800.0,,2.0,Yes,Yes,1.0,26.817294249167237,Billing,2.0,0.0,0.44,0.17,28.0,,0.0,1.0,CUST_00037
Male,41.0,India,,,46.0,Mobile,Monthly,15.0,,17.17599674334633,4.0,,,70.0,3220.0,Card,1.0,No,Yes,2.0,16.19442675664146,Technical,5.0,0.0,0.28,0.31,-12.0,Satisfied,0.0,0.0,CUST_00038
Male,52.0,India,,SME,49.0,Mobile,,7.0,5.0,9.71745806085167,4.0,-0.04,1.0,30.0,1470.0, Card    ,0.0,,No,,26.0109118945919,Service,5.0,0.0,0.59,0.44,-51.0,Satisfied,1.0,0.0,CUST_00039
,72.0,,Toronto,SME,52.0,,Monthly,10.0,5.0,24.339220025023657,3.0,0.09,15.0,10.0,520.0,Card,1.0,,No,1.0,22.91113436382605,Billing,,0.0,0.29,0.18,30.0,Satisfied,1.0,0.0,CUST_00040
Male,31.0,UK,Toronto,Individual,15.0,Web,,6.0,7.0,9.006143751173141,6.0,0.2,2.0,30.0,450.0,Card,0.0,No,,0.0,26.21135509228189,Technical,3.0,1.0,0.14,0.22,15.0,Neutral,1.0,0.0,CUST_00041
Male,72.0,Canada,Dhaka,Individual,47.0,Web,Quarterly,19.0,7.0,18.023546761673483,11.0,,2.0,30.0,1410.0,Card,1.0,No,No,0.0,36.25818442735974,Billing,,0.0,0.6,0.35,55.0,Unsatisfied,1.0,0.0,CUST_00042
Female,31.0,India,Delhi,Individual,23.0,Mobile,,26.0,0.0,23.754851640109614,5.0,-0.01,1.0,30.0,690.0,Card,,No,,2.0,18.490502640880678,Service,2.0,0.0,0.28,0.02,-5.0,Satisfied,3.0,0.0,CUST_00043
Female,27.0,Bangladesh,Delhi,SME,44.0,Web,Monthly,13.0,4.0,15.393576161501317,3.0,-0.1,21.0,50.0,2200.0,Card,0.0,Yes,No,2.0,37.28779351559047,Service,3.0,,0.15,0.43,-17.0,Satisfied,0.0,0.0,CUST_00044
Female,29.0,Bangladesh,Dhaka,Individual,41.0,Referral,Monthly,5.0,1.0,24.03688813013394,7.0,0.24,6.0,,4100.0,Card,0.0,No,,0.0,42.10783620671764,Billing,,0.0,0.56,0.08,9.0,Unsatisfied,5.0,0.0,CUST_00045
Female,55.0,Australia,London,Enterprise,44.0,Referral,Monthly,19.0,0.0,13.679665271423076,7.0,-0.07,1.0,20.0,880.0,PayPal,1.0,No,,1.0,21.73458584857025,,4.0,1.0,0.76,0.1,17.0,Unsatisfied,0.0,0.0,CUST_00046
Female,,Australia,New York,Individual,,Mobile,Monthly,19.0,1.0,7.115452536017008,3.0,-0.17,14.0,30.0,570.0,Card,1.0,Yes,No,2.0,25.33143315946949,,4.0,0.0,0.58,,87.0,Neutral,2.0,0.0,CUST_00047
Male,72.0,Canada,Delhi,Individual,44.0,Referral,Monthly,15.0,6.0,20.195862385117863,4.0,0.05,8.0,10.0,440.0,Card,1.0,No,No,0.0,30.04901318281916,Service,3.0,,,0.06,17.0,Unsatisfied,3.0,,CUST_00048
Female,63.0,UK,London,Individual,11.0,,Monthly,12.0,2.0,17.357794918120742,6.0,-0.02,14.0,30.0,330.0,,,No,No,1.0,26.745246493339533,,2.0,1.0,0.72,0.37,-44.0,Unsatisfied,1.0,1.0,CUST_00049
Female,51.0,UK,New York,SME,38.0,Web,Yearly,32.0,2.0,8.29113943673211,7.0,0.0,,,3800.0,Bank Transfer,1.0,Yes,Yes,2.0,28.09561459854149,Technical,3.0,0.0,0.86,0.2,47.0,Unsatisfied,2.0,0.0,CUST_00050
Male,58.0,USA,Dhaka,Individual,40.0,,Monthly,14.0,7.0,14.39385549280083,2.0,-0.01,,20.0,800.0,PayPal,1.0,No,Yes,0.0,6.585886462154875,Billing,5.0,0.0,0.47,0.26,,Satisfied,2.0,0.0,CUST_00051
Female,27.0,USA,Toronto,Individual,,Web,Yearly,5.0,2.0,8.17725801847205,10.0,,1.0,50.0,2150.0,Card,0.0,Yes,No,2.0,23.97144827973592,Technical,3.0,0.0,0.58,0.43,52.0,Satisfied,0.0,0.0,CUST_00052
Male,34.0,,Delhi,SME,3.0,Web,Yearly,19.0,4.0,,4.0,0.01,1.0,20.0,60.0,PayPal,0.0,No,No,,14.665058613879632,,5.0,2.0,0.37,0.02,36.0,Neutral,0.0,0.0,CUST_00053
Female,34.0,Germany,Berlin,Individual,16.0,Web,Monthly,25.0,5.0,30.97642132313397,4.0,0.1,6.0,100.0,1600.0,PayPal,0.0,No,No,0.0,19.74267947652703,,3.0,3.0,0.47,0.09,-22.0,Unsatisfied,1.0,,CUST_00054
Male,20.0,Bangladesh,Toronto,Individual,,Mobile,Monthly,24.0,0.0,,2.0,0.04,15.0,20.0,640.0,Bank Transfer,3.0,No,No,1.0,35.65475989048856,Technical,3.0,1.0,,0.15,-3.0,Neutral,3.0,0.0,CUST_00055
Female,48.0,USA,Sydney,SME,38.0,,Monthly,4.0,1.0,19.38887853212307,4.0,0.01,10.0,50.0,,Card,1.0,Yes,No,1.0,28.65533318527303,Service,5.0,1.0,0.71,0.1,-61.0,,0.0,0.0,CUST_00056
Female,68.0,UK,New York,SME,9.0,Web,Quarterly,32.0,6.0,16.181186299618698,4.0,0.09,15.0,50.0,450.0,PayPal,0.0,No,No,2.0,30.974051105967675,Service,4.0,0.0,0.47,0.12,60.0,,0.0,0.0,CUST_00057
MALE,18.0,Bangladesh, Berlin    ,Individual,41.0,Web,QUARTERLY,22.0,3.0,22.34384180539017,5.0,,,10.0,410.0,paypal,0.0,Yes,No,2.0,23.503369709326435,,4.0,0.0,0.1,0.18,28.0,,0.0,0.0,CUST_00058
Male,29.0,Germany,,Individual,38.0,Mobile,Quarterly,25.0,5.0,15.542769834235148,5.0,-0.17,0.0,50.0,1900.0,,2.0,No,Yes,1.0,21.721395796459497,,2.0,0.0,0.61,0.04,29.0,Unsatisfied,0.0,0.0,CUST_00059
Male,56.0,USA,Delhi,SME,5.0,Web,Quarterly,46.0,0.0,2.45188400733597,5.0,-0.08,1.0,50.0,250.0,Card,0.0,No,No,1.0,35.93881945559706,,3.0,1.0,0.62,0.45,59.0,Satisfied,,0.0,CUST_00060
Male,21.0,Canada,Berlin,Individual,1.0,Web,Monthly,27.0,1.0,5.626137004810996,4.0,-0.22,3.0,10.0,10.0,Bank Transfer,1.0,Yes,No,2.0,22.506607114960165,Technical,3.0,0.0,0.59,0.4,-33.0,Satisfied,0.0,0.0,CUST_00061
Male,59.0,Australia,London,,35.0,Mobile,Yearly,25.0,6.0,11.15873803906122,3.0,0.01,,20.0,700.0,PayPal,0.0,Yes,No,2.0,,Service,4.0,0.0,0.88,0.37,39.0,Neutral,1.0,1.0,CUST_00062
Male,30.0,,New York,Individual,35.0,,Monthly,17.0,3.0,12.051570326421883,4.0,-0.06,13.0,20.0,700.0,Card,0.0,Yes,No,1.0,36.28579911694359,Technical,2.0,0.0,0.67,0.07,94.0,Satisfied,0.0,0.0,CUST_00063
Male,,USA,Sydney,Individual,12.0,Web,Yearly,19.0,0.0,15.179540884293129,5.0,-0.12,9.0,10.0,120.0,,1.0,No,No,,33.16694971327691,Technical,4.0,0.0,0.32,0.01,33.0,Satisfied,1.0,0.0,CUST_00064
Male,59.0,Canada,,Individual,36.0,Web, Monthly    ,7.0,0.0,,6.0,0.02,23.0,30.0,1080.0,,0.0,Yes,Yes,3.0,,,4.0,1.0,0.48,0.05,67.0,,0.0,0.0,CUST_00065
Female,38.0,UK,Berlin,Individual,21.0,Mobile,Monthly,,5.0,17.727144801829468,4.0,-0.13,0.0,50.0,1050.0,Bank Transfer,1.0,No,Yes,2.0,17.062046825596674,Service,3.0,0.0,0.45,0.23,0.0,Unsatisfied,,,CUST_00066
FEMALE,,India,TORONTO,SME,48.0,Referral,,36.0,2.0,16.24636952831633,7.0,0.09,7.0,20.0,960.0,Card,1.0,Yes,No,1.0,12.20311733225302,Billing,2.0,0.0,,0.27,-39.0,satisfied,0.0,,CUST_00067
Male,74.0,Canada,New York,Individual,43.0,,Quarterly,24.0,5.0,7.281570771729517,6.0,0.01,12.0,20.0,860.0,PayPal,0.0,No,No,1.0,28.53677351179713,Service,5.0,0.0,0.59,0.32,,Satisfied,,0.0,CUST_00068
Female,21.0,India,Delhi,Individual,8.0,Mobile,Quarterly,42.0,,13.922269262212849,2.0,-0.02,0.0,50.0,400.0,PayPal,0.0,,No,2.0,35.07518016065944,,5.0,0.0,0.45,0.03,79.0,Satisfied,1.0,0.0,CUST_00069
Female,35.0,USA,Sydney,Enterprise,27.0,Web,Monthly,25.0,5.0,10.657705746528642,2.0,0.04,12.0,,540.0,PayPal,0.0,No,No,1.0,24.2726440000758,,4.0,0.0,0.81,0.27,100.0,Neutral,2.0,0.0,CUST_00070
,22.0,UK,Toronto,Individual,9.0,Web,YEARLY,22.0,5.0,7.841616587790844,4.0,0.1,10.0,10.0,90.0, Card    ,1.0,No,Yes,1.0,18.636644507647823,technical,2.0,,0.13,0.09,,,2.0,0.0,CUST_00071
Female,36.0,Germany,Sydney,SME,28.0,,,18.0,6.0,1.0,5.0,0.01,,30.0,840.0,PayPal,0.0,,No,1.0,25.85601605427897,,4.0,0.0,,0.38,1.0,Satisfied,1.0,0.0,CUST_00072
Male,19.0,USA,Delhi,Enterprise,30.0,Mobile,Monthly,39.0,5.0,6.7153173810162485,5.0,-0.03,32.0,50.0,1500.0,Card,1.0,Yes,No,1.0,31.371738338223714,Billing,3.0,0.0,0.79,0.04,53.0,Satisfied,3.0,0.0,CUST_00073
Female,29.0,Canada,Dhaka,Enterprise,14.0,Mobile,Monthly,15.0,7.0,27.21491300956673,,-0.01,2.0,30.0,420.0,Card,0.0,Yes,No,3.0,47.066245287046016,Billing,5.0,0.0,0.12,0.5,44.0,Neutral,2.0,0.0,CUST_00074
Male,34.0,Germany,New York,SME,,Mobile,Quarterly,12.0,6.0,23.158078444131448,8.0,0.13,35.0,50.0,1150.0,Bank Transfer,0.0,Yes,No,1.0,33.49090483245683,Billing,4.0,0.0,0.83,0.25,26.0,,1.0,0.0,CUST_00075
Female,27.0,Australia,Berlin,Individual,29.0,Web,Yearly,11.0,1.0,9.025624677591097,4.0,-0.21,25.0,50.0,1450.0,Card,1.0,No,No,0.0,,Billing,2.0,1.0,0.47,0.42,,Unsatisfied,0.0,0.0,CUST_00076
Female,51.0,Germany,Sydney,Enterprise,,Web,Quarterly,,2.0,11.617056374949732,9.0,0.01,16.0,70.0,1820.0,PayPal,0.0,No,No,1.0,25.00014652177512,,3.0,0.0,0.64,0.44,15.0,Neutral,3.0,0.0,CUST_00077
Female,23.0,Canada,New York,SME,22.0,Web,Yearly,21.0,0.0,32.60016552142086,1.0,0.22,25.0,,1100.0,Bank Transfer,1.0,Yes,No,,38.0296557615061,Billing,5.0,1.0,0.73,0.24,39.0,Neutral,1.0,0.0,CUST_00078
Male,25.0,Bangladesh,Sydney,,15.0,Mobile,Monthly,20.0,6.0,,2.0,0.15,33.0,20.0,300.0,Bank Transfer,0.0,Yes,,1.0,20.81343047798432,Technical,5.0,1.0,0.58,0.03,-64.0,Unsatisfied,1.0,0.0,CUST_00079
Female,68.0,Germany,Toronto,Individual,51.0,Web,Yearly,25.0,2.0,16.508693873052273,1.0,0.06,8.0,20.0,1020.0,Bank Transfer,1.0,,Yes,2.0,19.660778628381163,Technical,5.0,,0.15,0.17,-42.0,,,0.0,CUST_00080
Male,28.0,Canada, Sydney    ,Enterprise,9.0,Mobile, Monthly    ,17.0,7.0,,6.0,0.1,5.0,10.0,90.0,,1.0,Yes,Yes,3.0,26.19862826385773, Billing    ,4.0,2.0,0.54,0.43,1.0,,1.0,0.0,CUST_00081
Female,74.0,Bangladesh,,SME,26.0,Web,Monthly,12.0,3.0,17.08881608166477,6.0,0.36,,20.0,520.0,Card,0.0,No,,2.0,16.607304116671422,Technical,3.0,1.0,0.19,0.45,10.0,Satisfied,,0.0,CUST_00082
Male,29.0,USA,Toronto,SME,17.0,Mobile,Monthly,11.0,1.0,12.80170590909252,6.0,0.05,2.0,20.0,340.0,PayPal,0.0,No,No,1.0,23.123570376440576,Technical,3.0,0.0,0.49,0.48,5.0,Satisfied,3.0,0.0,CUST_00083
Female,26.0,Bangladesh,Toronto,Individual,9.0,Web,Quarterly,11.0,3.0,,7.0,-0.05,7.0,,450.0,Card,0.0,No,,1.0,8.736811836497063,Technical,4.0,1.0,0.19,0.13,39.0,Neutral,2.0,0.0,CUST_00084
Male,19.0,UK,New York,Individual,3.0,Web,Monthly,0.0,1.0,19.412293070586703,7.0,0.21,15.0,20.0,60.0,Card,1.0,Yes,No,0.0,16.225823143501692,Technical,3.0,1.0,0.13,0.03,88.0,Satisfied,0.0,0.0,CUST_00085
Male,25.0,Australia,London,Enterprise,57.0,Web,Yearly,20.0,4.0,22.368647298708677,6.0,,4.0,50.0,2850.0,Card,0.0,No,No,1.0,25.44715626778054,Technical,4.0,1.0,0.16,0.49,15.0,Satisfied,1.0,0.0,CUST_00086
Female,28.0,Bangladesh,,Individual,,Web,Yearly,4.0,3.0,,3.0,-0.25,17.0,100.0,1600.0,Card,0.0,No,No,2.0,25.60697898790763,,4.0,0.0,0.29,0.37,22.0,Satisfied,1.0,,CUST_00087
Male,70.0,UK,Sydney,,13.0,Web,Quarterly,25.0,6.0,17.196418338992782,7.0,0.05,6.0,50.0,650.0,Bank Transfer,0.0,No,Yes,0.0,22.71849160008816,,4.0,1.0,0.39,0.17,80.0,Satisfied,2.0,0.0,CUST_00088
Female,53.0,UK,Berlin,SME,26.0,Referral,Monthly,28.0,4.0,6.145405880843796,5.0,0.1,2.0,50.0,1300.0,Card,0.0,No,,3.0,,,3.0,,0.78,0.43,-27.0,Satisfied,0.0,0.0,CUST_00089
Female,27.0,UK,Toronto,Individual,17.0,,Monthly,13.0,5.0,,6.0,-0.12,9.0,30.0,510.0,PayPal,,No,No,0.0,26.81470176554447,Technical,5.0,,0.13,0.05,61.0,Satisfied,0.0,0.0,CUST_00090
Female,38.0,,London,Individual,32.0,Web,Monthly,23.0,2.0,2.3202353997671725,5.0,0.32,,20.0,640.0,Card,0.0,No,No,2.0,23.628089126455563,Service,2.0,0.0,0.73,0.13,8.0,Satisfied,0.0,0.0,CUST_00091
Female,37.0,Canada,Toronto,Individual,24.0,Mobile,Quarterly,27.0,3.0,18.31386576641149,8.0,-0.07,,10.0,240.0,PayPal,0.0,Yes,No,3.0,27.0711804896054,,3.0,0.0,0.16,0.13,-7.0,Satisfied,0.0,,CUST_00092
Female,65.0,,London,,54.0,Mobile,Monthly,35.0,0.0,11.002849942208208,9.0,-0.06,7.0,30.0,1620.0,Card,0.0,No,No,1.0,10.191430871482094,Billing,3.0,0.0,0.82,0.06,75.0,Unsatisfied,1.0,0.0,CUST_00093
Female,25.0,Australia,London,Individual,57.0,Web,Quarterly,16.0,5.0,13.60544438069796,5.0,0.16,0.0,20.0,,Card,0.0,,No,0.0,2.5319324904463336,Service,3.0,0.0,0.68,0.49,35.0,Unsatisfied,2.0,0.0,CUST_00094
Female,53.0,Canada,Berlin,Individual,36.0,Mobile,Quarterly,5.0,1.0,15.602439897373792,6.0,0.11,14.0,30.0,1080.0,Card,0.0,No,No,3.0,30.23055931268139,Service,2.0,0.0,0.61,0.29,16.0,Neutral,,0.0,CUST_00095
Female,46.0,India,London,,53.0,Mobile,Quarterly,10.0,7.0,17.110946962047787,4.0,0.05,20.0,30.0,1590.0,Card,0.0,No,No,1.0,25.89525776295612,,4.0,0.0,0.12,0.12,-13.0,,2.0,0.0,CUST_00096
Female,59.0,Canada,Berlin,SME,22.0,Web,Monthly,3.0,7.0,1.6712679694356165,1.0,0.09,,30.0,660.0,PayPal,0.0,No,No,1.0,19.232957694719587,Technical,4.0,0.0,0.63,0.48,-33.0,Satisfied,0.0,1.0,CUST_00097
Female,29.0,Canada,New York,Enterprise,9.0,Mobile,Quarterly,24.0,0.0,17.70185946050415,4.0,-0.03,,20.0,180.0,,0.0,Yes,No,1.0,8.936036829054027,,4.0,0.0,0.29,0.12,-69.0,Unsatisfied,0.0,0.0,CUST_00098
Female,31.0,Canada,Toronto,Individual,,Web,Monthly,0.0,6.0,12.237442367433712,4.0,-0.05,0.0,20.0,440.0,PayPal,0.0,No,Yes,1.0,22.648639723860573,Billing,5.0,0.0,0.77,0.46,24.0,Neutral,,0.0,CUST_00099
Male,65.0,USA,Berlin,Individual,41.0,Web,Monthly,9.0,0.0,21.16452613975216,3.0,-0.15,13.0,10.0,410.0,Bank Transfer,0.0,No,Yes,1.0,27.74311949020926,Technical,3.0,0.0,0.51,0.04,-4.0,Satisfied,0.0,0.0,CUST_00100
Male,71.0,Australia,Delhi,,50.0,Referral,Yearly,,5.0,12.76019920449449,4.0,0.31,0.0,20.0,1000.0,Card,1.0,Yes,No,0.0,23.78028914754693,Billing,,0.0,0.14,0.19,-31.0,Satisfied,0.0,1.0,CUST_00101
Female,67.0,India,Dhaka,SME,46.0,Web,Monthly,9.0,2.0,10.721935535974024,2.0,-0.18,35.0,50.0,2300.0,Card,,No,No,2.0,8.327003405376962,Technical,3.0,0.0,,0.12,35.0,Satisfied,,0.0,CUST_00102
Female,38.0,Canada,Toronto,Enterprise,20.0,Web,Yearly,11.0,2.0,22.981659422951186,4.0,0.01,2.0,20.0,400.0,,0.0,No,Yes,1.0,32.521991650587324,Billing,4.0,0.0,0.75,0.08,-3.0,Neutral,0.0,0.0,CUST_00103
