usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-ec16ce,S-f76252,2024-09-28,feature_31,6.0,3372.0,2.0,False
U-716ed9,S-6bd42d,2023-12-27,feature_16,10.0,2170.0,,False
U-7d5257,S-929a7c,2024-12-16,feature_20,6.0,1272.0,0.0,False
U-aa639b,S-ca0eb1,2024-09-09,feature_6,6.0,2376.0,0.0,False
U-669106,S-7b2efe,2023-11-13,feature_13,14.0,504.0,1.0,False
U-6a440d,S-a408fe,2024-11-19,feature_38,11.0,3817.0,0.0,False
U-73f882,S-85022b,2023-08-27,,12.0,1836.0,0.0,False
U-de0e81,S-2d4edf,,feature_8,8.0,600.0,0.0,False
U-139a49,S-9bf1a0,2023-01-25,,8.0,4016.0,0.0,False
U-5b948f,S-4695b8, 2023-10-06    ,feature_19,12.0,6972.0,3.0,False
U-721e8c,,2023-10-18,feature_31,5.0,60.0,0.0,False
U-d5d63e,S-2ccc04,2023-01-02,feature_9,9.0,3915.0,1.0,False
U-ac9343,s-d8165b,2024-04-20,feature_26,7.0,2226.0,1.0,False
,S-a18bb2,2024-07-11,feature_28,14.0,7182.0,1.0,False
U-1d5daf,S-5901a1,2023-11-01,feature_37,9.0,,0.0,False
U-21c6ad,S-9d727d,2024-04-05,feature_20,10.0,960.0,0.0,False
,S-92afb8,2023-07-26,feature_25,11.0,3960.0,1.0,False
U-a0254f,S-a50803,2024-12-08,feature_3,12.0,3216.0,2.0,False
U-a533f2,S-E90E70, 2023-02-03    ,feature_2,7.0,2947.0,0.0,False
U-7f928f,S-151fce,2023-12-28,,13.0,2990.0,1.0,False
U-dd1ee2,S-cfedb3,2023-07-23,,13.0,5200.0,1.0,False
U-8b15aa,S-02A3Aa,2024-08-01,feature_28,11.0,2145.0,0.0,False
U-13530c,S-d638c7,2024-03-27,feature_6,11.0,1287.0,0.0,False
U-d4d5be,S-32e8fa,2024-10-27,feature_23,10.0,1450.0,0.0,False
U-dfb84b,S-c41b43,2024-12-13,feature_25,,1864.0,0.0,False
U-15e557,S-c696fa,2023-07-30,feature_4,11.0,4224.0,0.0,False
,,2024-04-22,feature_1,13.0,2444.0,0.0,False
U-3fb874,s-511e50,2023-12-25,feature_8,5.0,850.0,0.0,False
U-2c0517,,2023-06-14,feature_30,7.0,2996.0,0.0,False
U-c6137a,S-d85c2f,2024-03-12,feature_20,16.0,3920.0,1.0,False
,S-33eb1d,2023-11-18,,11.0,3311.0,0.0,False
U-8ab7ab,S-31d8aa,2024-09-27,feature_36,,5292.0,0.0,False
,S-858Aa0,,feature_26,7.0,2534.0,3.0,False
,S-d6cffe,2024-02-28,feature_28,14.0,3612.0,0.0,False
U-b081e3,S-51dd23,2023-12-05,feature_17,11.0,3344.0,1.0,False
U-a16319,S-d1b062,2023-11-11,feature_17,6.0,474.0,2.0,False
U-746dd6,S-adf00a,2024-09-18,feature_8,12.0,4920.0,2.0,False
U-f00feb,S-a3455c,2024-09-09,feature_38,9.0,2295.0,2.0,False
U-dba328,S-f783b6,2023-09-06,feature_17,10.0,2870.0,1.0,False
U-c72a1a,S-66a834,2024-04-06,feature_19,12.0,,0.0,False
U-893332,,2023-10-04,feature_27,12.0,3300.0,0.0,False
U-ed1d69,S-9b2c95,2024-06-22,feature_36,8.0,1440.0,,False
U-f788e6,S-92e8cb,2023-08-18,feature_4,7.0,2387.0,2.0,False
U-735684,S-0896f4,2024-03-06,feature_9,8.0,3944.0,0.0,False
U-39d415,S-9dbe8c,2024-08-12,feature_35,9.0,4851.0,0.0,False
U-bf0205,s-b45a10,2023-10-04,feature_7,9.0,2340.0,0.0,False
U-ed175a,S-aa5f00,2023-04-17,feature_1,16.0,,0.0,False
U-c6d2b4,S-3c9a70,2023-05-13,feature_4,11.0,2002.0,1.0,False
U-baf889,S-f1aa04,2024-05-05,feature_3,6.0,2970.0,2.0,False
U-2d3590,S-25ec8c,,feature_34,8.0,2888.0,0.0,False
,S-08f8d3,,feature_27,8.0,3072.0,0.0,False
U-f082ec,S-37b367,,feature_38,10.0,1400.0,0.0,False
U-be625d,S-da8d5f,2023-02-08,feature_16,8.0,120.0,0.0,False
U-53acc0,S-07abdd,2023-11-06,feature_18,5.0,2925.0,0.0,True
U-da91cc,S-1f4c01,2023-11-08,feature_25,11.0,770.0,0.0,False
U-f86b7c,S-e002a1,2024-09-17,feature_15,8.0,,3.0,False
U-13c9a6,S-4d9635,2023-01-29,feature_10,8.0,2952.0,0.0,False
U-92dfae,S-82Eb3E,,feature_8,11.0,2343.0,0.0,False
U-eee6be,S-620b62,,feature_26,9.0,3321.0,0.0,False
U-81dc8e,S-4c8e19,2024-12-24,feature_39,7.0,2842.0,0.0,False
U-648980,S-de473d,2023-12-05,feature_38,11.0,3850.0,1.0,False
U-6f9fc9,S-ea9f08,2023-01-03,feature_36,9.0,4005.0,2.0,False
U-71c2d1,S-9714fa,2024-08-10,,7.0,1596.0,0.0,False
U-7f8280,S-f74ac6,2023-09-25,feature_24,13.0,,0.0,False
U-36c307,S-89e98a,2023-07-13,feature_17,7.0,2380.0,2.0,True
U-94bb68,,2024-02-02,feature_15,13.0,1183.0,0.0,False
,S-1a9fb7,2023-08-17,feature_35,,5680.0,0.0,False
U-462fde,S-e98121,2023-02-19,feature_14,11.0,3388.0,0.0,False
,S-627697,2023-07-15,,13.0,2158.0,0.0,False
U-71cb0c,S-4a8fda,2023-02-04,feature_16,6.0,1224.0,1.0,False
U-22edbf,S-875645,,feature_19,5.0,960.0,0.0,False
U-c89f69,S-f93185,2024-02-21,feature_14,5.0,,2.0,False
U-0d1327,S-9c4bcd,2023-11-05,feature_15,15.0,6990.0,2.0,True
U-e3bccf,S-1c06f3,2024-03-01,feature_33,9.0,3690.0,1.0,False
U-874edd,S-27E9Ad,,feature_3,12.0,6840.0,0.0,False
U-b73d27,S-19edee,2024-12-28,feature_10,9.0,5283.0,0.0,False
U-f50dcc,S-27ab7f,2024-01-26,feature_38,15.0,840.0,0.0,False
U-cd7803,S-573f93,2024-10-31,feature_6,8.0,4024.0,3.0,False
,S-3909f9,2023-10-20,feature_5,7.0,3367.0,3.0,True
U-226ffe,S-eccbe0,2023-07-12,feature_3,8.0,,0.0,False
U-3d35fa,S-01daf5,2023-11-23,feature_4,8.0,1304.0,0.0,False
U-69e435,S-d232ad,2024-07-03,feature_24,,371.0,1.0,False
U-432eac,S-9dda85,2023-06-15,feature_36,8.0,2336.0,0.0,False
U-64db53,S-1eba7d,2024-02-05,feature_22,7.0,,0.0,False
U-6a7350,S-8d4b81,2023-12-11,feature_11,14.0,2912.0,0.0,True
U-cb6db1,S-9af385,2023-05-17,feature_34,9.0,1449.0,2.0,False
