,ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag,account_id
55,T-358dd5,2023-08-20,,57.0,medium,131.0,,False,
56,T-54e843,2024-10-06,2024-10-06 08:00:00,8.0,medium,63.0,3.0,False,
57,T-50ad36,,2023-05-08 02:00:00,26.0,medium,126.0,,False,
58,,2023-08-02,2023-08-03 06:00:00,30.0, medium    ,44.0,4.0,False,
59,T-f155f0,2023-08-06,2023-08-06 06:00:00,6.0,high,156.0,,False,
60,,2023-01-23,2023-01-25 21:00:00,69.0,,74.0,,False,
61, T-857a8d    ,2024-01-08,,,MEDIUM,,,False,
62,T-384dcb,2024-11-18,2024-11-20 23:00:00,71.0,urgent,6.0,5.0,True,
63,T-970c6c,2024-12-12,2024-12-12 20:00:00,20.0,urgent,123.0,,False,
64,T-50c7f8,2024-01-18,2024-01-19 12:00:00,36.0,,47.0,,False,
65,,2023-04-15,2023-04-16 00:00:00,24.0,urgent,7.0,3.0,,
66,T-7b7a5a,2024-10-02,2024-10-02 19:00:00,19.0,high,170.0,5.0,True,
67,T-c9a73c,2024-10-24,2024-10-24 18:00:00,18.0,urgent,86.0,4.0,False,
68,T-486b6b,2023-01-28,2023-01-28 22:00:00,22.0,urgent,102.0,5.0,False,
69,T-19cc99,2023-04-28,2023-04-30 05:00:00,,high,134.0,,False,
70,T-35FC90,2023-10-23,2023-10-25 19:00:00,67.0,LOW,121.0,,False,
71,T-d4142b,2023-05-25,2023-05-27 18:00:00,66.0,urgent,69.0,4.0,False,
72,T-6ba215,2023-03-24,2023-03-26 18:00:00,66.0,low,,3.0,False,
73,T-e5c785,2023-03-07,2023-03-08 02:00:00,26.0,medium,41.0,3.0,False,
74,T-4f0d98,2023-03-31,2023-03-31 10:00:00,10.0,urgent,19.0,,False,
75,T-e97da3,2024-04-04,2024-04-05 01:00:00,25.0,low,,,False,
76,T-990a0e,2024-11-06,2024-11-08 00:00:00,48.0,high,28.0,,False,
77,T-ce1dee,2024-10-10,2024-10-11 08:00:00,32.0,low,126.0,,False,
78,T-b7b797,2024-03-11,2024-03-12 11:00:00,35.0,medium,24.0,,,
79,T-847498,2023-07-17,2023-07-19 11:00:00,59.0,,,,False,
80,,2023-09-15,2023-09-16 21:00:00,45.0,,33.0,5.0,False,
81,T-fb6fa3,,2024-11-26 08:00:00,8.0,urgent,57.0,,False,
82,T-a3f900,2023-07-22,2023-07-23 05:00:00,29.0,medium,126.0,3.0,,
83,T-b9e7df,2023-05-10,2023-05-10 05:00:00,5.0,medium,158.0,,False,
84,,2024-06-27,2024-06-29 12:00:00,60.0,urgent,169.0,5.0,False,
85,T-4c2f4b,2023-12-02,2023-12-03 13:00:00,37.0,high,150.0,,False,
86,T-e7dc15,2024-03-26,2024-03-26 22:00:00,22.0,medium,137.0,,False,
87,T-9876fb,2024-01-18,2024-01-18 14:00:00,14.0,high,92.0,,False,
88,,2024-07-16,2024-07-18 03:00:00,51.0,Medium,73.0,5.0,False,
89, T-03303d    ,2023-11-29,2023-12-01 11:00:00,59.0,High,7.0,,True,
90,T-1ed4c4,2024-03-21,2024-03-21 15:00:00,15.0,urgent,129.0,5.0,False,
91,T-7c6ab3,,2024-12-25 09:00:00,57.0,,96.0,5.0,False,
92,T-67BFCF,2023-09-01,2023-09-02 12:00:00,36.0,Urgent,144.0,3.0,False,
93,T-088eb6,2024-03-28,2024-03-28 21:00:00,21.0,high,23.0,,False,
94,,2023-08-05,2023-08-06 09:00:00,33.0,,137.0,,False,
95,T-03d219,2024-01-02,,53.0,urgent,6.0,,False,
96,T-7c2d38,2024-11-03,2024-11-03 01:00:00,1.0,high,35.0,,False,
97,T-1112c6,2023-09-22,2023-09-25 00:00:00,72.0,urgent,24.0,3.0,False,
98,T-938C6D,2023-08-19,2023-08-21 12:00:00,60.0,low,132.0,,False,
99,T-d2e273,,2024-10-05 05:00:00,5.0,high,94.0,,False,
100,T-bdc72c,2024-11-19,2024-11-21 14:00:00,62.0,medium,106.0,3.0,False,
101,T-7d4777,2024-11-20,,40.0,medium,4.0,3.0,,
102,T-03624C,2024-01-29,2024-01-31 10:00:00,58.0,Low,68.0,3.0,False,
103,T-3fab11,2023-03-12,2023-03-14 07:00:00,55.0,high,123.0,5.0,False,
104,T-37f2cf,2024-05-29,2024-05-30 17:00:00,41.0,urgent,127.0,,True,
105,T-826f63,,2023-07-26 00:00:00,72.0,low,169.0,,False,
106,T-f7ec04,2023-10-18,2023-10-18 16:00:00,16.0,urgent,74.0,3.0,True,
107,T-856d24,2023-05-05,2023-05-07 05:00:00,53.0,high,166.0,,False,
108,T-cbfd6b,2023-03-15,2023-03-16 01:00:00,,medium,137.0,4.0,False,
109,T-66636b,,2023-07-27 22:00:00,70.0,medium,,4.0,False,
110,,2024-09-17,2024-09-19 01:00:00,,medium,19.0,5.0,False,
111,T-fcd539,2024-07-12,2024-07-12 21:00:00,21.0,urgent,97.0,,False,
112,T-433a53,2023-02-28,2023-02-28 10:00:00,10.0,high,160.0,3.0,False,
113,T-5fb9f7,2023-01-06,2023-01-06 19:00:00,19.0,medium,,,False,
114,T-ced995,2024-06-24,2024-06-25 19:00:00,43.0,urgent,92.0,,False,
115,,2024-06-28,2024-06-30 00:00:00,48.0,low,107.0,5.0,False,
116, T-58a90d    ,2024-11-25,2024-11-26 02:00:00,26.0,HIGH,170.0,3.0,False,
117,T-8833a5,2023-12-02,2023-12-03 10:00:00,34.0,medium,150.0,4.0,False,
118,T-ef7c6e,2024-05-14,,1.0,high,47.0,5.0,False,
119,T-b8ed8f,2023-01-18,2023-01-18 11:00:00,11.0,high,99.0,,False,
120,T-97fa24,2023-06-16,2023-06-16 09:00:00,9.0,medium,73.0,3.0,False,
121,,,2023-06-02 03:00:00,3.0,,18.0,,False,
122,T-c45238,2024-11-03,2024-11-05 12:00:00,60.0,medium,139.0,,False,
123,T-a8de52,2024-11-07,2024-11-07 17:00:00,17.0,medium,128.0,5.0,False,
124,T-73259c,2023-05-09,2023-05-09 20:00:00,,,59.0,,False,
125,T-eace7b,2023-02-12,2023-02-13 08:00:00,32.0,low,156.0,,,
126,T-9cb671,2023-06-11,2023-06-13 07:00:00,55.0,high,73.0,,False,
127,T-ae23c2,2023-03-09,2023-03-10 15:00:00,39.0,urgent,,5.0,False,
128,T-1cbbd0,2024-01-28,2024-01-29 09:00:00,33.0,urgent,38.0,4.0,False,
129,T-78b6e2,,,31.0,high,45.0,,False,
130,,2023-10-20,2023-10-20 08:00:00,8.0,low,129.0,,False,
131,T-667845,2024-09-17,2024-09-17 11:00:00,11.0,urgent,,3.0,False,
132,T-546223,2023-01-04,2023-01-06 13:00:00,61.0,high,46.0,4.0,False,
133,T-6a2899,2023-09-12,2023-09-14 03:00:00,51.0,medium,136.0,,True,
134,T-ceb781,,2023-07-17 09:00:00,9.0,low,108.0,3.0,False,
135,T-365342,2023-04-04,2023-04-05 05:00:00,29.0,low,146.0,5.0,False,
136,T-e9e7a7,2023-06-17,2023-06-17 22:00:00,22.0,low,107.0,3.0,False,
137,T-4be927,2023-11-04,2023-11-06 14:00:00,62.0,low,31.0,3.0,False,
138,T-5b7600,2023-08-28,2023-08-29 21:00:00,45.0,medium,127.0,5.0,False,
139,T-d0e9c2,2024-02-27,,36.0,medium,112.0,,False,
140,T-62d8ce,2024-09-01,2024-09-02 02:00:00,26.0,low,165.0,5.0,False,
141,T-2a24d4,2023-08-19,,17.0,urgent,87.0,3.0,,
142,T-a3d1d0,2023-08-24,2023-08-25 20:00:00,44.0,urgent,54.0,,False,
143,T-ade86f,2024-01-25,2024-01-25 16:00:00,16.0,low,96.0,,False,
144,T-b8e4c5,2023-11-03,2023-11-04 10:00:00,34.0,low,98.0,,False,
145,T-ffeda5,2023-11-12,2023-11-13 16:00:00,40.0,,90.0,,False,
146,T-e938bb,2024-07-24,2024-07-26 06:00:00,54.0,medium,171.0,4.0,False,
147,T-85af66,2024-01-12,2024-01-12 13:00:00,13.0,medium,165.0,,False,
148,T-e13c08,2023-12-28,,136.0,low,92.0,1.0,False,
149,T-f365f1,2024-10-14,2024-10-15 19:00:00,43.0,medium,161.0,5.0,False,
150,T-dd45ee,2024-12-09,2024-12-09 08:00:00,8.0,high,97.0,3.0,False,
151, T-59d842    ,2024-08-05,2024-08-07 19:00:00,,Medium,168.0,4.0,False,
152,T-4A12E6,2024-08-07,2024-08-08 23:00:00,47.0,,108.0,5.0,False,
153,T-3bfb51,2024-05-07,2024-05-07 23:00:00,23.0,high,60.0,,False,
154,T-d3391b,2023-11-25,2023-11-27 17:00:00,,low,165.0,,False,
155,T-ae6671,2023-07-16,2023-07-18 10:00:00,58.0,urgent,112.0,,False,
156,t-300e16,2024-10-15,2024-10-15 04:00:00,4.0,URGENT,131.0,3.0,True,
157,T-167962,2023-11-09,2023-11-10 08:00:00,32.0,high,143.0,3.0,False,
158,T-1760ba,2023-08-03,2023-08-04 12:00:00,,medium,1.0,3.0,False,
159,t-a231f8,2023-04-19,,22.0,,177.0,4.0,False,
160,T-706693,2023-12-31,2024-01-01 14:00:00,38.0,medium,,3.0,False,
161,T-fe8af7,2023-10-13,2023-10-14 00:00:00,24.0,low,33.0,3.0,False,
162,T-A427D8,2023-03-24,2023-03-24 05:00:00,5.0, high    ,61.0,3.0,,
163,T-30b4eb,2024-12-30,2024-12-30 12:00:00,12.0,medium,37.0,,False,
164,T-abb562,2023-09-08,2023-09-08 12:00:00,12.0,low,6.0,5.0,False,
165, T-a819c9    ,2023-07-11,2023-07-13 14:00:00,62.0,URGENT,38.0,,False,
166,T-36d4a7,2024-07-07,2024-07-08 13:00:00,37.0,urgent,130.0,,,
167,T-5c2f82,2023-12-13,2023-12-15 20:00:00,,urgent,143.0,4.0,False,
168,T-701980,2023-09-15,2023-09-15 20:00:00,20.0,low,125.0,,False,
169,,2024-12-25,2024-12-25 05:00:00,5.0,Medium,26.0,3.0,False,
170,T-07593c,2023-11-24,2023-11-24 11:00:00,11.0,medium,145.0,3.0,False,
171,T-6807e7,2023-08-23,2023-08-23 16:00:00,16.0,low,118.0,4.0,False,
172,,2024-03-23,2024-03-24 20:00:00,44.0,URGENT,27.0,,False,
173, T-3798d5    ,2024-03-28,2024-03-28 12:00:00,12.0, medium    ,56.0,,False,
174,T-763f2d,2023-06-22,2023-06-24 16:00:00,64.0,medium,141.0,3.0,False,
175,T-196fca,2024-04-27,2024-04-29 13:00:00,61.0,high,22.0,3.0,False,
176,T-b2adad,2024-10-29,2024-10-31 09:00:00,57.0,medium,20.0,5.0,False,
177,T-37b69f,2024-05-21,2024-05-21 01:00:00,1.0,urgent,114.0,4.0,False,
178,T-f873ff,2023-04-21,2023-04-22 16:00:00,40.0,low,73.0,4.0,False,
179,T-2a2ecd,2023-10-26,2023-10-27 23:00:00,47.0,medium,30.0,,False,
180,T-b29471,2023-06-11,2023-06-12 16:00:00,40.0,high,53.0,4.0,False,
181,T-c32093,2023-01-27,2023-01-27 08:00:00,8.0,urgent,41.0,,False,
182,T-f0f18c,2023-03-31,2023-04-02 16:00:00,64.0,high,137.0,,False,
183,T-4c7b15,2023-01-22,2023-01-24 02:00:00,,low,126.0,,False,
184,T-ca36f7,2023-02-28,2023-03-01 14:00:00,,high,108.0,4.0,False,
185,T-a1bab0,2023-04-25,2023-04-27 02:00:00,50.0,medium,141.0,4.0,False,
186, T-5daa6c    ,2024-04-28,2024-04-29 08:00:00,32.0,low,157.0,5.0,False,
187,T-ea0979,2024-06-30,,38.0,urgent,177.0,,False,
188,T-308071,2023-04-16,2023-04-17 11:00:00,35.0,high,10.0,3.0,False,
189,T-ed091b,2023-08-12,2023-08-14 10:00:00,58.0,medium,129.0,4.0,False,
190,T-fd14d8,2023-06-21,2023-06-23 01:00:00,49.0,medium,178.0,,False,
191,T-3a3a53,2024-12-18,2024-12-19 02:00:00,26.0,medium,89.0,5.0,False,
192,T-35ae60,2023-12-17,2023-12-19 22:00:00,70.0,medium,174.0,,False,
193,T-93f5f0,2023-08-04,2023-08-04 05:00:00,5.0,,20.0,,False,
194,T-0a835d,2023-11-06,2023-11-08 08:00:00,56.0,low,14.0,,False,
195,T-a79931,2023-08-23,2023-08-25 05:00:00,53.0,low,94.0,4.0,False,
196,,2023-05-31,2023-06-02 07:00:00,55.0,low,41.0,,False,
197,,,,51.0,low,87.0,,False,
198,T-fb798a,2024-11-07,2024-11-07 09:00:00,9.0,medium,64.0,,False,
199,T-b0b086,2023-02-18,2023-02-19 11:00:00,35.0,Medium,65.0,5.0,False,
200,T-6de710,2024-02-04,2024-02-05 18:00:00,42.0,low,55.0,,False,
201,T-d319e4,2024-03-04,2024-03-05 01:00:00,,low,46.0,,False,
202,T-041287,2024-07-15,2024-07-17 22:00:00,70.0,urgent,19.0,4.0,False,
203,T-496c6b,2024-08-23,2024-08-25 21:00:00,,,150.0,3.0,False,
204,T-d92e2e,,2024-07-20 19:00:00,67.0,high,67.0,4.0,False,
205,T-6f8270,2023-11-11,2023-11-14 00:00:00,72.0,high,118.0,3.0,False,
206,T-2a21f8,2024-05-30,2024-05-30 08:00:00,8.0,medium,92.0,4.0,False,
207,T-08e86b,2023-10-05,2023-10-05 03:00:00,3.0,urgent,160.0,,False,
208,T-bdbc42,2024-09-09,2024-09-11 14:00:00,62.0,urgent,90.0,4.0,False,
209,T-996921,2024-11-13,2024-11-14 17:00:00,41.0,urgent,124.0,5.0,False,
210,,2023-09-17,2023-09-17 18:00:00,18.0,low,69.0,,False,
211,T-100066,2023-01-11,2023-01-13 00:00:00,48.0,High,166.0,,False,
212,T-51307e,2023-09-15,2023-09-16 16:00:00,40.0,low,,5.0,False,
213,T-e545b2,2024-01-09,2024-01-10 21:00:00,45.0,low,158.0,5.0,False,
214,T-5a402d,2023-04-25,2023-04-27 15:00:00,63.0,,138.0,3.0,False,
215,T-287b04,2023-05-07,2023-05-08 01:00:00,25.0,low,11.0,,False,
216,T-2c61f3,2024-06-29,2024-06-29 16:00:00,16.0,high,,3.0,False,
217,T-c2b413,,2024-04-02 22:00:00,70.0,,13.0,3.0,False,
218,T-a7489c,2024-01-24,2024-01-26 20:00:00,68.0,high,72.0,,False,
219,T-011d5c,2023-05-13,2023-05-15 15:00:00,63.0,urgent,34.0,3.0,False,
220,T-af4249,2023-10-02,2023-10-04 18:00:00,66.0,low,180.0,3.0,False,
221,T-2904e8,2024-11-11,2024-11-11 20:00:00,20.0,low,144.0,,False,
222,T-a9333e,2024-09-06,,72.0,medium,77.0,,False,
223,T-4d5bca,2023-01-29,2023-01-31 13:00:00,61.0,urgent,,5.0,False,
224,T-f0d824,2023-12-01,2023-12-02 04:00:00,28.0,urgent,165.0,3.0,False,
225,T-05b5f6,2024-03-05,2024-03-06 16:00:00,40.0,high,137.0,,False,
226,t-246510,2024-09-29,,41.0,high,160.0,5.0,False,
227,T-e7f66c,2023-04-25,2023-04-27 04:00:00,52.0,low,136.0,,False,
228,t-dcb2e1,2023-10-10,2023-10-12 13:00:00,61.0,,78.0,3.0,False,
229,T-0e3932,2024-12-09,2024-12-09 11:00:00,11.0,medium,32.0,4.0,False,
230,T-52fd00,2023-01-29,2023-01-29 07:00:00,7.0,medium,49.0,,False,
231,,2023-12-29,2023-12-29 01:00:00,1.0, high    ,177.0,,False,
232,T-5a765e,2024-02-27,2024-02-29 23:00:00,71.0,high,38.0,5.0,False,
233,T-1bc086,2023-09-15,2023-09-15 01:00:00,1.0,urgent,92.0,,False,
234,T-30ab22,2023-09-01,2023-09-03 05:00:00,53.0,high,146.0,5.0,False,
235,T-a1ebca,2024-12-10,,32.0,medium,43.0,4.0,False,
236,T-d9e588,2024-08-01,2024-08-01 07:00:00,7.0,low,117.0,3.0,False,
237,T-765765,2023-08-13,2023-08-14 20:00:00,44.0,high,120.0,,False,
238,T-848076,2023-10-31,2023-10-31 08:00:00,8.0,low,105.0,,False,
239,T-00644f,2023-05-22,2023-05-24 18:00:00,66.0,medium,62.0,,False,
240,T-ec469a,2023-07-10,2023-07-12 04:00:00,52.0, urgent    ,72.0,5.0,False,
241,T-d1c41b,2023-03-22,2023-03-23 00:00:00,24.0,high,68.0,,False,
242,T-090534,2023-11-30,2023-11-30 07:00:00,7.0,urgent,143.0,4.0,False,
243,T-367cc3,2024-08-31,2024-08-31 01:00:00,,medium,159.0,5.0,False,
244,T-f86b35,2024-09-13,2024-09-13 11:00:00,,urgent,108.0,,False,
245, T-e23a37    ,2023-05-11,2023-05-11 13:00:00,13.0, high    ,55.0,,False,
246, T-776916    ,2023-06-12,2023-06-14 17:00:00,65.0,medium,12.0,5.0,False,
247,T-0854f6,2024-01-31,2024-02-02 19:00:00,67.0,urgent,,3.0,False,
248,,2023-08-29,2023-08-31 17:00:00,65.0,low,,5.0,False,
249,T-270c25,2023-12-19,2023-12-21 21:00:00,69.0,high,56.0,,False,
250,T-f3e69b,2024-10-03,2024-10-05 19:00:00,67.0,medium,70.0,,False,
251,,2023-04-17,2023-04-18 06:00:00,30.0,urgent,155.0,5.0,True,
252,T-da63ee,2023-01-30,2023-01-31 09:00:00,,high,79.0,,False,
253,T-44B600,2023-07-14,2023-07-16 16:00:00,64.0, medium    ,136.0,,False,
254,T-4d0d5b,2024-12-06,,12.0,urgent,126.0,4.0,False,
255,T-7cca37,2024-10-02,2024-10-03 16:00:00,40.0,medium,128.0,5.0,True,
256,T-122749,2024-01-14,2024-01-15 19:00:00,43.0,low,77.0,,False,
257,T-27d61d,2024-01-25,2024-01-25 13:00:00,13.0,medium,171.0,4.0,False,
258,T-86e757,2023-10-29,2023-10-31 03:00:00,51.0,high,129.0,,False,
259,,2024-03-17,2024-03-19 23:00:00,71.0,,29.0,5.0,False,
260,T-df9759,2024-12-30,2024-12-30 15:00:00,15.0,medium,86.0,3.0,False,
261,T-c556c6,2024-11-21,2024-11-23 02:00:00,50.0,high,39.0,4.0,False,
262,T-e57828,2023-04-16,2023-04-17 19:00:00,43.0,high,52.0,,False,
263,T-fc25d0,2024-08-17,2024-08-19 13:00:00,61.0,high,138.0,,False,
264,,2024-12-21,2024-12-23 16:00:00,64.0,urgent,2.0,,,
265, T-9bbea1    ,2023-02-06,2023-02-08 04:00:00,52.0,Low,172.0,,False,
266,T-9bf64e,2023-10-07,,29.0,high,87.0,,False,
267,T-7cefd9,2023-03-31,2023-04-02 15:00:00,63.0,medium,146.0,5.0,False,
268,T-9717Fc,2024-05-11,2024-05-13 09:00:00,57.0,Medium,145.0,,False,
269,T-b43464,2024-07-15,2024-07-17 20:00:00,,high,67.0,3.0,False,
270,T-29abed,2024-03-28,2024-03-30 02:00:00,50.0,urgent,,5.0,False,
271,T-4e24d4,2023-05-29,2023-05-31 18:00:00,66.0,urgent,75.0,,False,
272,T-990f20,2024-08-15,2024-08-16 04:00:00,28.0,,42.0,3.0,,
273,T-618d10,2024-09-25,2024-09-25 19:00:00,19.0,urgent,130.0,,,
274,T-9736d7,2023-08-12,2023-08-12 19:00:00,19.0,medium,66.0,,False,
275,T-7a48cd,2024-07-27,2024-07-29 18:00:00,66.0,medium,37.0,4.0,False,
276,T-8F1182,2023-05-25,2023-05-27 02:00:00,50.0,High,98.0,,False,
277,T-926ee8,2023-06-17,2023-06-19 20:00:00,68.0,high,9.0,5.0,False,
278,T-21c5ae,2024-11-18,2024-11-19 13:00:00,,urgent,,4.0,False,
279,T-7d1efb,2023-12-18,2023-12-19 22:00:00,46.0,medium,16.0,,False,
280,T-bad86e,2024-09-10,2024-09-12 20:00:00,68.0,high,144.0,,False,
281,,2024-07-27,2024-07-29 09:00:00,57.0, low    ,55.0,,False,
282,T-e1cf37,,2023-04-15 20:00:00,68.0,high,72.0,3.0,False,
283,T-104009,2023-08-21,2023-08-23 07:00:00,55.0,high,82.0,,False,
284,T-2b7d40,2023-04-23,2023-04-25 00:00:00,48.0,medium,65.0,,True,
285,T-b4f3d9,2023-08-03,2023-08-03 05:00:00,5.0,low,101.0,5.0,False,
286,T-d6ab6c,2023-12-05,2023-12-05 06:00:00,6.0,urgent,58.0,3.0,False,
287,T-62b1dd,2024-12-27,2024-12-29 19:00:00,67.0,medium,112.0,4.0,False,
288,T-cd4a87,2023-04-08,2023-04-09 21:00:00,45.0,urgent,38.0,,False,
289,T-3aa54d,2024-06-25,2024-06-27 16:00:00,64.0,low,177.0,5.0,False,
290,T-640bda,2023-01-07,2023-01-08 04:00:00,28.0,medium,112.0,3.0,False,
291,T-8e435c,2023-06-16,2023-06-17 11:00:00,35.0,high,115.0,3.0,False,
292,T-32b901,2024-11-14,2024-11-16 01:00:00,49.0,high,1.0,,False,
293,T-867910,2024-06-14,,70.0,high,11.0,,False,
294,T-316da7,2024-01-15,2024-01-16 11:00:00,,,44.0,4.0,False,
295,T-3517a8,2023-07-28,2023-07-30 04:00:00,52.0,medium,43.0,,False,
296,,2023-08-05,2023-08-07 11:00:00,59.0,high,22.0,4.0,False,
297,T-565965,2023-01-11,2023-01-12 17:00:00,41.0,urgent,,4.0,False,
298,T-096b66,,2023-06-27 06:00:00,6.0,urgent,69.0,,False,
299,T-d90ef7,2023-08-17,2023-08-19 19:00:00,67.0,medium,101.0,4.0,False,
300,T-495585,2024-01-27,2024-01-27 23:00:00,23.0,MEDIUM,31.0,3.0,False,
301,T-502019,2024-09-23,2024-09-23 20:00:00,20.0,,18.0,4.0,False,
302,T-b6d93a,,2023-02-25 10:00:00,34.0,low,35.0,,False,
303,T-d5352f,2023-01-23,2023-01-25 05:00:00,53.0,high,,,False,
304,T-5f94dd,2024-12-31,2024-12-31 13:00:00,13.0,high,149.0,4.0,False,
305,T-D0FF21,2023-07-11,2023-07-12 10:00:00,34.0,Medium,40.0,5.0,False,
306,T-1d7cfb,,,15.0,urgent,44.0,5.0,False,
307,T-759c6f,2023-01-11,2023-01-12 19:00:00,43.0,medium,132.0,3.0,False,
308,T-0c378b,2023-12-04,2023-12-05 17:00:00,41.0,low,169.0,,False,
309,T-bde8aa,,2024-08-02 07:00:00,31.0,high,133.0,,False,
310,T-bf01b8,2024-06-21,2024-06-21 19:00:00,19.0,urgent,30.0,4.0,False,
311,T-926f27,2024-10-05,2024-10-07 16:00:00,64.0,low,127.0,3.0,False,
312,T-952a1a,2023-06-04,2023-06-06 15:00:00,,high,168.0,4.0,True,
313,T-361edc,2023-03-18,2023-03-18 23:00:00,23.0,low,112.0,,False,
314,T-2d4793,2024-02-12,2024-02-12 03:00:00,3.0,urgent,88.0,,False,
315,T-9bfb24,2024-07-02,2024-07-04 20:00:00,68.0,high,2.0,5.0,False,
316,T-abcd41,2024-11-01,2024-11-02 12:00:00,36.0,medium,,,False,
317,T-5B0Ebb,2023-03-22,2023-03-23 05:00:00,29.0, high    ,17.0,,False,
318,T-2e5c7e,2024-09-04,2024-09-06 15:00:00,63.0,low,136.0,,False,
