,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,subscription_id,account_id
41,2024-11-12,,Basic,19.0,361.0,4332.0,False,False,False,False,,True,,
42,2024-09-09,,Pro,31.0,1519.0,18228.0,False,False,False,False,,True,,
43,2024-12-22,,,,8159.0,97908.0,False,False,False,False,,True,,
44,2024-09-10,,Enterprise,12.0,2388.0,,False,False,False,False,annual,True,,
45,2024-03-16,,Enterprise,12.0,2388.0,28656.0,False,False,False,False,annual,True,,
46,2024-07-25,,Basic,,437.0,5244.0,False,False,True,False,Annual,False,,
47,2024-02-22,,Basic,39.0,741.0,8892.0,False,False,False,False,monthly,True,,
48,2024-10-03,,Basic,11.0,209.0,2508.0,False,False,False,False,monthly,True,,
49,2024-08-25,,Pro,21.0,0.0,0.0,,True,False,False,annual,True,,
50,,,Basic,62.0,1178.0,14136.0,False,False,False,False,annual,True,,
51,2024-08-16,,Pro,21.0,1029.0,12348.0,False,True,False,False,monthly,True,,
52,2024-01-14,,Pro,8.0,0.0,0.0,True,False,False,True,monthly,True,,
53,2023-06-16,,Basic,41.0,779.0,9348.0,False,False,False,,annual,True,,
54,2024-09-18,2024-11-17,Enterprise,20.0,3980.0,,False,False,False,True,monthly,True,,
55,2023-12-12,,Enterprise,78.0,15522.0,186264.0,False,False,False,False,,True,,
56,2024-08-06,,Pro,34.0,1666.0,19992.0,False,False,False,False,annual,True,,
57,2023-09-16,,Enterprise,11.0,2189.0,,False,False,False,False,monthly,,,
58,2024-01-08,,Enterprise,43.0,8557.0,102684.0,False,False,False,False,annual,False,,
59,2024-09-03,,Basic,50.0,950.0,,False,False,False,False,annual,True,,
60,2024-12-06,,Enterprise,29.0,5771.0,69252.0,False,False,False,False,monthly,False,,
61,2024-07-09,,Basic,48.0,912.0,10944.0,False,False,False,False,,True,,
62,2024-04-24,,Enterprise,14.0,2786.0,33432.0,False,False,,False,annual,True,,
63,,,Pro,67.0,3283.0,39396.0,False,False,False,False,monthly,True,,
64,2024-08-27,2024-12-11,Enterprise,10.0,1990.0,23880.0,False,False,False,True, annual    ,False,,
65,2024-08-30,,Pro,2.0,98.0,,False,False,False,False,annual,True,,
66,2024-12-21,,Basic,41.0,779.0,9348.0,False,False,False,False,monthly,,,
67,2024-09-22,,Pro,28.0,0.0,0.0,,False,False,False,,True,,
68,2024-10-17,,Basic,47.0,0.0,0.0,True,False,False,False,monthly,True,,
69,,,Enterprise,70.0,13930.0,167160.0,False,False,False,False,annual,True,,
70,2024-06-05,,Basic,23.0,0.0,0.0,True,False,False,False,annual,True,,
71,,,Pro,17.0,833.0,9996.0,False,,False,False,monthly,True,,
72,2024-08-17,,Pro,16.0,784.0,,False,False,False,False,,False,,
73,2024-10-17,2024-12-04,Enterprise,13.0,0.0,0.0,True,False,False,True,monthly,True,,
74,,,Basic,55.0,1045.0,12540.0,False,False,False,False,monthly,True,,
75,2023-12-13,,Basic,34.0,646.0,7752.0,False,False,False,False,annual,False,,
76,2024-07-07,,Enterprise,20.0,3980.0,47760.0,False,False,False,False,annual,True,,
77,2024-12-28,,Basic,36.0,684.0,8208.0,False,,False,False,,,,
78,2024-12-25,2024-12-28,Pro,8.0,0.0,0.0,True,False,False,True,annual,True,,
79,2024-05-08,,Basic,14.0,266.0,3192.0,False,False,False,,monthly,False,,
80,2024-08-22,,Pro,4.0,196.0,2352.0,False,False,False,False,annual,True,,
81,2024-12-09,,Pro,26.0,1274.0,15288.0,False,False,False,False,monthly,True,,
82,2024-02-29,,Pro,18.0,0.0,0.0,True,False,False,False,monthly,,,
83,2024-09-04,,Pro,11.0,539.0,6468.0,,False,False,False,monthly,True,,
84,2024-09-01,,Pro,27.0,1323.0,15876.0,False,False,False,False,,True,,
85,2024-12-26,,Basic,15.0,0.0,0.0,True,False,,,monthly,True,,
86,2024-07-31,2024-09-04,Basic,41.0,779.0,9348.0,False,False,False,True,annual,True,,
87,2024-03-14,,Pro,55.0,0.0,0.0,,False,False,False,monthly,False,,
88,2024-08-08,,Pro,,686.0,8232.0,False,False,False,False,annual,False,,
89,2024-01-24,,,44.0,2156.0,25872.0,False,False,False,False,monthly,True,,
90,2024-04-03,,Basic,38.0,722.0,8664.0,False,False,False,False,annual,True,,
91,2024-12-26,,Basic,,,4332.0,False,True,,False,annual,True,,
92,2023-05-21,,Pro,,980.0,11760.0,False,False,False,False,monthly,True,,
93,2024-11-09,2024-12-18,Pro,53.0,2597.0,31164.0,False,False,False,,annual,True,,
94,2024-06-29,,Pro,1.0,49.0,588.0,False,False,False,False,annual,True,,
95,,,Enterprise,28.0,5572.0,66864.0,False,False,False,False,monthly,False,,
96,2024-07-23,,Enterprise,5.0,995.0,11940.0,False,False,True,, monthly    ,True,,
97,,,Basic,41.0,779.0,9348.0,False,False,False,False,annual,True,,
98,,,Pro,34.0,1666.0,,False,,False,False,annual,True,,
99,2024-11-22,,Basic,9.0,171.0,2052.0,,False,False,False,annual,True,,
100,2024-02-06,,Pro,49.0,2401.0,28812.0,False,False,False,False,,True,,
101,2024-10-11,,Enterprise,38.0,7562.0,90744.0,False,False,False,False,monthly,,,
102,2024-11-17,,Enterprise,4.0,796.0,,False,False,False,False,,True,,
103,2024-08-18,,Pro,21.0,,12348.0,False,False,False,False,monthly,True,,
104,2024-10-07,,Pro,82.0,4018.0,48216.0,False,False,False,False,,True,,
105,2024-05-25,,Enterprise,13.0,,0.0,,False,False,False,annual,False,,
106,2024-08-17,,Pro,5.0,,2940.0,False,False,False,False,monthly,True,,
107,2024-05-24,,Enterprise,24.0,4776.0,,False,False,False,False,Annual,True,,
108,2024-07-15,,Basic,,247.0,2964.0,False,False,False,False,annual,False,,
109,2024-07-16,,Enterprise,28.0,5572.0,66864.0,False,False,,False,,True,,
110,,,Enterprise,21.0,4179.0,50148.0,False,False,,False,,False,,
111,2024-08-07,,Pro,20.0,0.0,0.0,True,False,False,False,monthly,True,,
112,2024-07-14,,Enterprise,36.0,7164.0,85968.0,False,,False,False,annual,True,,
113,2024-10-05,,Enterprise,23.0,,54924.0,False,False,True,False,monthly,,,
114,2024-12-09,,Enterprise,21.0,4179.0,50148.0,,False,,False,,True,,
115,2024-09-20,,Pro,9.0,441.0,5292.0,False,False,False,False, monthly    ,True,,
116,2023-12-01,,Pro,12.0,588.0,7056.0,False,False,False,False,monthly,True,,
117,2024-12-14,,Enterprise,10.0,0.0,0.0,True,False,False,False,monthly,False,,
118,2024-03-23,,Pro,53.0,2597.0,31164.0,False,False,True,False,annual,False,,
119,2024-12-22,,Enterprise,55.0,10945.0,131340.0,False,False,False,False, monthly    ,True,,
120,2023-02-28,2023-06-15,Pro,,1176.0,14112.0,False,False,True,,annual,True,,
121,2023-07-09,,Basic,15.0,,3420.0,False,False,False,False,,True,,
122,2024-11-13,,Pro,46.0,2254.0,27048.0,False,False,False,False, annual    ,True,,
123,2023-10-19,,Enterprise,7.0,1393.0,16716.0,False,True,False,False,annual,False,,
124,2024-12-25,2024-12-28,Basic,38.0,722.0,8664.0,False,False,False,True,annual,True,,
125,,,Pro,44.0,2156.0,25872.0,False,,False,False,monthly,True,,
126,2023-08-31,,Basic,29.0,551.0,6612.0,False,,False,False,annual,True,,
127,2024-02-09,,Enterprise,44.0,8756.0,105072.0,False,False,,False,MONTHLY,True,,
128,2024-02-10,,Enterprise,20.0,3980.0,47760.0,False,False,False,False,monthly,True,,
129,2024-03-15,,Pro,60.0,2940.0,35280.0,False,False,False,False,annual,True,,
130,2024-12-16,,Basic,,304.0,3648.0,False,True,False,False,,True,,
131,2024-10-09,,Basic,71.0,1349.0,16188.0,False,False,False,False,annual,True,,
132,2023-08-13,2024-06-22,Enterprise,4.0,796.0,9552.0,False,True,False,,,True,,
133,2024-11-28,,Pro,7.0,343.0,4116.0,False,False,,False,monthly,True,,
134,2024-11-08,2024-11-25,Basic,53.0,1007.0,12084.0,False,False,False,True,monthly,,,
135,2024-07-19,,Enterprise,14.0,2786.0,33432.0,False,False,False,False,monthly,True,,
136,2024-09-06,,Basic,6.0,114.0,1368.0,False,False,False,False,annual,True,,
137,2024-10-27,,Enterprise,20.0,3980.0,47760.0,False,False,False,False,annual,True,,
138,2024-11-23,,Pro,83.0,,0.0,True,True,False,False,annual,True,,
139,2024-11-23,,Enterprise,2.0,398.0,4776.0,False,False,False,False,monthly,True,,
140,2024-11-24,2024-12-05,Pro,29.0,0.0,0.0,True,False,False,,annual,True,,
141,,,Enterprise,22.0,4378.0,,False,True,False,False,monthly,False,,
142,2024-06-12,,Pro,18.0,882.0,10584.0,False,,False,False,monthly,,,
143,2024-01-17,2024-04-19,Basic,64.0,0.0,0.0,True,False,False,True,,True,,
144,2024-08-07,,Enterprise,26.0,0.0,0.0,True,False,False,False,annual,True,,
145,2024-09-24,,Basic,21.0,,,False,False,False,False,annual,True,,
146,2024-02-24,,Pro,31.0,1519.0,18228.0,False,False,False,False,monthly,False,,
147,2024-12-02,,Pro,49.0,2401.0,28812.0,False,False,,False,annual,True,,
148,2024-01-01,,Pro,24.0,1176.0,14112.0,False,False,False,False,,True,,
149,2024-05-15,,,44.0,2156.0,25872.0,,True,False,False,monthly,True,,
150,2023-10-05,,Basic,,0.0,0.0,True,False,False,False,annual,True,,
151,2024-11-15,,Enterprise,11.0,,26268.0,False,False,False,False,,True,,
152,2024-11-06,,Pro,27.0,0.0,0.0,True,False,False,False,annual,True,,
153,2024-05-14,,Pro,5.0,245.0,2940.0,False,True,False,False,monthly,True,,
154,2024-10-12,,Basic,34.0,646.0,7752.0,False,False,False,False,monthly,False,,
155,2023-08-08,,Pro,27.0,1323.0,15876.0,False,False,False,False,monthly,True,,
156,2024-02-13,,Basic,50.0,950.0,11400.0,,False,False,False,,True,,
157,2024-10-30,,Enterprise,28.0,5572.0,66864.0,False,False,False,False,monthly,True,,
158,2023-12-04,,Pro,5.0,245.0,2940.0,False,False,False,False,annual,True,,
159,2024-02-07,,Enterprise,17.0,0.0,0.0,True,False,,False,annual,True,,
160,2024-11-25,,Pro,101.0,4949.0,59388.0,False,False,False,False,monthly,True,,
161,,,Basic,10.0,0.0,0.0,True,False,False,False,annual,False,,
162,2024-05-14,,Pro,48.0,2352.0,28224.0,False,False,False,False,annual,True,,
163,2024-09-17,,Pro,29.0,1421.0,17052.0,False,False,False,False,,True,,
164,2024-01-09,,Basic,17.0,323.0,3876.0,False,False,False,False, annual    ,True,,
165,2024-12-30,,Enterprise,6.0,1194.0,14328.0,False,False,False,False,annual,True,,
166,2024-10-31,,Basic,38.0,722.0,8664.0,False,False,False,False,monthly,True,,
167,2023-12-26,,Basic,50.0,950.0,11400.0,False,False,False,False,,True,,
168,2024-12-02,2024-12-19,Enterprise,37.0,7363.0,88356.0,False,False,False,True,monthly,True,,
169,,2024-12-31,Enterprise,19.0,,45372.0,False,False,False,True,annual,True,,
170,2024-02-20,,Enterprise,23.0,0.0,0.0,True,False,False,False,monthly,True,,
171,2024-10-23,2024-11-27,Basic,21.0,399.0,4788.0,False,False,False,True,monthly,False,,
172,2024-07-06,,Basic,22.0,0.0,0.0,,False,False,False,monthly,True,,
173,2024-10-01,,Basic,28.0,532.0,6384.0,False,False,False,False,annual,,,
174,2024-10-10,2024-12-29,Enterprise,2.0,398.0,4776.0,False,False,False,True,annual,True,,
175,2024-12-28,,Pro,9.0,0.0,0.0,,,,False,annual,False,,
176,2024-12-27,2024-12-30,Basic,20.0,380.0,4560.0,False,False,False,True,annual,True,,
177,2024-10-04,,Pro,26.0,0.0,0.0,True,False,False,False,annual,True,,
178,2024-10-13,,Basic,32.0,608.0,7296.0,False,False,False,False,monthly,True,,
179,2024-12-06,,,39.0,,93132.0,False,False,False,False,annual,True,,
180,2024-12-07,,Enterprise,40.0,7960.0,95520.0,False,False,False,False,annual,True,,
181,2024-06-27,,Basic,2.0,38.0,456.0,False,False,False,False, annual    ,False,,
182,2024-12-14,,Pro,59.0,2891.0,34692.0,False,False,False,False,,True,,
183,2024-11-18,,Basic,6.0,0.0,0.0,True,True,False,False,annual,True,,
184,2024-11-30,2024-12-03,Enterprise,117.0,23283.0,,False,False,False,True,monthly,,,
185,2024-10-29,,,47.0,0.0,0.0,True,False,False,False, monthly    ,True,,
186,2024-10-11,,,67.0,3283.0,39396.0,False,False,False,False,annual,False,,
187,2024-12-09,,Basic,11.0,209.0,2508.0,False,False,False,False,,True,,
188,2024-10-18,,Pro,25.0,1225.0,14700.0,False,False,True,False,monthly,True,,
189,2024-12-30,,Pro,24.0,1176.0,14112.0,False,,False,False,monthly,,,
190,2024-12-21,,Pro,21.0,0.0,,,False,,False,monthly,True,,
191,2024-11-08,,Enterprise,62.0,12338.0,148056.0,,False,False,False,monthly,True,,
192,2024-04-04,,Enterprise,9.0,0.0,0.0,True,False,False,False,annual,False,,
193,2024-12-31,,Basic,15.0,285.0,3420.0,False,False,False,False,,True,,
194,2024-12-12,,Enterprise,21.0,4179.0,50148.0,False,False,,False,monthly,True,,
195,2024-11-12,,Pro,20.0,980.0,11760.0,False,False,False,False,monthly,True,,
196,2024-12-02,,Basic,9.0,0.0,0.0,True,False,False,False,annual,False,,
197,2024-10-28,,Enterprise,35.0,6965.0,83580.0,False,True,False,False,annual,True,,
198,2024-05-23,,Pro,23.0,1127.0,13524.0,False,False,True,False,,,,
199,2023-04-08,,,66.0,1254.0,15048.0,False,False,False,,annual,True,,
200,2024-11-02,,Basic,14.0,266.0,3192.0,False,True,False,False,monthly,False,,
201,2024-11-28,2024-12-06,Pro,19.0,931.0,11172.0,False,False,False,True,annual,True,,
202,2024-12-10,2024-12-30,Basic,8.0,152.0,,False,False,False,True,monthly,False,,
203,2024-09-24,,Enterprise,37.0,0.0,0.0,True,False,False,False,monthly,True,,
204,2024-12-26,2024-12-29,,10.0,190.0,2280.0,,,False,True,,True,,
205,2023-12-12,2024-12-29,Enterprise,28.0,5572.0,,False,False,False,True,,True,,
206,2024-04-22,,Enterprise,94.0,18706.0,224472.0,False,True,,False,annual,True,,
207,2024-12-14,,Basic,5.0,0.0,0.0,True,False,False,False,monthly,True,,
208,2024-10-17,,Basic,33.0,,7524.0,False,False,False,False,annual,True,,
209,2024-12-18,,Pro,49.0,2401.0,28812.0,False,False,False,False,monthly,True,,
210,2024-11-24,,Enterprise,,0.0,0.0,True,False,False,False,monthly,False,,
211,2024-09-09,,Enterprise,23.0,4577.0,,False,False,False,False,annual,,,
212,2024-04-01,,Enterprise,32.0,6368.0,76416.0,False,False,True,False,annual,True,,
213,2024-08-27,2024-10-31,Enterprise,23.0,4577.0,54924.0,False,False,False,True,monthly,True,,
214,2024-10-16,,Pro,38.0,1862.0,22344.0,False,False,False,False,monthly,False,,
215,2023-11-22,,Pro,24.0,1176.0,,False,False,False,False,annual,True,,
216,2024-09-08,,Pro,1.0,49.0,588.0,False,False,False,False,monthly,False,,
217,2024-12-25,,Basic,83.0,1577.0,18924.0,,False,False,False,annual,True,,
218,2024-01-21,,Basic,12.0,228.0,2736.0,False,False,False,False,annual,True,,
219,2024-12-26,,Pro,16.0,784.0,9408.0,False,True,True,False,annual,True,,
220,,,Basic,52.0,988.0,11856.0,False,False,False,False,annual,False,,
221,2024-12-30,,Basic,148.0,0.0,0.0,True,True,False,False,monthly,True,,
222,2024-03-16,,Basic,,76.0,912.0,False,False,False,False,annual,True,,
223,2023-06-26,,Basic,28.0,532.0,6384.0,False,False,False,False,,False,,
224,,,Enterprise,25.0,4975.0,59700.0,False,False,False,,annual,True,,
225,2024-11-14,,Pro,31.0,1519.0,18228.0,False,False,False,False,monthly,True,,
226,2024-08-14,2024-09-22,Enterprise,29.0,0.0,0.0,,False,False,True,annual,True,,
227,2024-01-25,,Basic,60.0,1140.0,13680.0,False,False,False,False,monthly,True,,
228,2024-01-06,,Enterprise,18.0,3582.0,42984.0,False,False,False,False,annual,True,,
229,2024-08-21,,Enterprise,30.0,5970.0,71640.0,,False,False,False,monthly,True,,
230,2024-07-24,,Enterprise,15.0,2985.0,35820.0,False,True,False,False,,,,
231,2024-01-30,,Basic,20.0,380.0,4560.0,,False,False,False,,True,,
232,2024-06-06,,Enterprise,29.0,5771.0,69252.0,False,False,False,False,monthly,True,,
233,2023-10-30,,Basic,15.0,0.0,0.0,True,False,True,False,Monthly,True,,
234,2024-11-11,,Enterprise,19.0,0.0,0.0,True,False,False,False,monthly,True,,
235,2024-12-17,,,38.0,0.0,0.0,True,False,False,False,annual,True,,
236,2024-05-17,,Basic,27.0,513.0,6156.0,False,False,,False,ANNUAL,True,,
237,2024-05-11,,Basic,33.0,627.0,7524.0,False,False,,False,annual,False,,
238,2024-09-28,,Pro,28.0,1372.0,16464.0,False,False,False,False,monthly,True,,
239,2024-08-10,,Enterprise,24.0,4776.0,57312.0,,False,False,,monthly,True,,
240,2024-08-14,,Enterprise,6.0,1194.0,14328.0,False,False,False,False,,True,,
241,2024-07-09,,Enterprise,14.0,2786.0,33432.0,False,False,False,False,monthly,True,,
242,2024-06-10,,Pro,25.0,,14700.0,False,False,False,False,monthly,False,,
243,,,Basic,6.0,114.0,1368.0,False,False,False,False,monthly,False,,
244,2024-08-23,,Basic,38.0,722.0,8664.0,False,False,False,False,monthly,True,,
245,2024-07-14,,Pro,,1323.0,15876.0,,False,False,False,monthly,True,,
246,2024-02-17,,Enterprise,48.0,0.0,0.0,,False,,False,ANNUAL,True,,
247,2024-08-01,,Basic,24.0,456.0,5472.0,False,False,False,False,annual,True,,
248,2024-12-12,,Pro,25.0,1225.0,14700.0,False,False,False,False,annual,True,,
249,2024-04-25,,Enterprise,9.0,1791.0,,False,False,False,False,annual,False,,
250,2024-09-28,,,41.0,8159.0,97908.0,False,False,False,False,monthly,False,,
251,2024-05-23,,,48.0,0.0,0.0,True,True,,False,monthly,True,,
252,2024-12-24,,Basic,148.0,2812.0,33744.0,False,False,,False,Annual,True,,
253,2024-09-06,,Pro,13.0,637.0,7644.0,False,False,False,False,annual,True,,
254,,,Pro,2.0,98.0,1176.0,False,False,False,False,monthly,,,
255,2024-07-02,,Pro,8.0,,4704.0,False,False,False,False,annual,True,,
256,2024-11-15,2024-12-14,Basic,22.0,418.0,5016.0,False,False,False,True,annual,False,,
257,2024-12-19,,Basic,34.0,646.0,7752.0,False,False,False,False,monthly,True,,
258,2023-05-01,,Pro,13.0,637.0,7644.0,False,False,False,False,monthly,True,,
259,2024-11-06,,Pro,21.0,1029.0,12348.0,False,True,False,False,monthly,False,,
260,2024-01-01,,Basic,7.0,0.0,0.0,True,False,False,False,annual,True,,
261,2024-12-17,,Enterprise,1.0,,2388.0,False,False,False,False, annual    ,True,,
262,2024-03-04,,Enterprise,26.0,5174.0,62088.0,False,False,False,False,monthly,True,,
263,2024-08-28,,Basic,4.0,76.0,912.0,False,False,False,False, monthly    ,True,,
264,2024-09-10,,Basic,24.0,456.0,5472.0,False,True,False,False,monthly,True,,
265,2024-03-03,,Enterprise,11.0,2189.0,26268.0,False,False,False,False,annual,True,,
266,2024-07-13,2024-08-03,Pro,87.0,,0.0,True,,False,,monthly,True,,
267,2023-10-15,,Enterprise,49.0,9751.0,117012.0,False,False,False,False,annual,True,,
268,2024-12-25,,,20.0,3980.0,47760.0,False,False,False,False,monthly,True,,
269,2023-11-09,,Basic,5.0,95.0,1140.0,False,True,False,False,annual,True,,
270,2024-11-10,2024-12-31,Pro,,1372.0,,False,False,False,,annual,True,,
271,2024-06-20,,Pro,87.0,0.0,0.0,True,False,False,False,annual,False,,
272,,,Basic,53.0,1007.0,,False,False,False,False,monthly,True,,
273,2024-12-06,,Basic,21.0,0.0,0.0,True,False,False,False, monthly    ,True,,
274,2023-06-20,,Pro,20.0,,11760.0,False,False,False,False,annual,True,,
275,2024-12-08,,Basic,19.0,361.0,4332.0,False,False,False,False,annual,True,,
276,2024-08-17,,Pro,55.0,0.0,0.0,True,False,False,False,annual,True,,
277,2024-02-11,2024-03-28,Basic,18.0,342.0,4104.0,False,False,False,True,monthly,True,,
278,2024-12-03,,Pro,28.0,1372.0,16464.0,False,False,False,False,monthly,True,,
279,2024-04-16,,Basic,8.0,152.0,,False,False,False,False,monthly,True,,
280,2024-08-25,,Pro,18.0,882.0,10584.0,False,False,False,False,annual,True,,
281,2024-04-01,,Enterprise,17.0,3383.0,40596.0,False,False,False,False,annual,False,,
282,2024-10-25,,Basic,61.0,1159.0,13908.0,,False,False,False,monthly,False,,
283,2024-03-06,,Pro,21.0,1029.0,12348.0,False,False,False,False,monthly,False,,
284,2024-11-29,,Basic,22.0,418.0,5016.0,False,False,False,False,monthly,True,,
285,2024-09-27,,Basic,33.0,627.0,7524.0,False,,False,False,monthly,True,,
286,2024-07-24,,Pro,43.0,0.0,0.0,True,False,False,False,annual,True,,
287,2024-08-07,,Enterprise,32.0,0.0,0.0,True,False,False,False,Monthly,,,
288,2024-07-26,,Basic,22.0,418.0,5016.0,False,False,False,,monthly,True,,
289,2023-11-13,,Enterprise,9.0,1791.0,21492.0,False,False,False,,annual,True,,
290,2023-09-14,,Basic,29.0,551.0,6612.0,False,False,False,False,annual,True,,
291,2024-10-01,,Pro,33.0,1617.0,19404.0,False,False,False,False,monthly,True,,
292,2024-09-21,,Pro,18.0,0.0,0.0,True,False,False,False,annual,True,,
293,2023-06-05,,Pro,9.0,441.0,,False,False,False,False,annual,True,,
294,2024-01-26,,Basic,41.0,0.0,0.0,True,False,False,False,monthly,True,,
295,2024-05-13,,Pro,31.0,0.0,0.0,True,False,False,False,monthly,False,,
296,2024-07-02,,Enterprise,37.0,7363.0,88356.0,False,False,False,False,monthly,True,,
297,2024-05-15,,Pro,38.0,1862.0,22344.0,False,True,False,False,annual,False,,
298,2024-09-22,2024-09-29,Pro,46.0,2254.0,27048.0,False,False,False,True,monthly,True,,
299,2024-07-02,,Basic,68.0,0.0,0.0,True,True,False,False,annual,False,,
300,2024-09-16,,,14.0,266.0,3192.0,False,False,False,False,monthly,True,,
301,2024-09-27,,Pro,9.0,0.0,0.0,True,False,False,False,annual,True,,
302,2024-09-04,,Enterprise,24.0,0.0,0.0,True,False,False,False,annual,True,,
303,2024-09-25,,Basic,45.0,855.0,10260.0,False,True,False,False,monthly,True,,
304,2024-12-19,,Basic,44.0,836.0,10032.0,False,,False,False, monthly    ,True,,
305,2024-12-08,,Pro,19.0,931.0,11172.0,False,False,False,False,monthly,True,,
306,2024-08-31,,Enterprise,47.0,9353.0,112236.0,False,False,False,False,annual,True,,
307,2024-09-16,,,30.0,570.0,6840.0,False,False,False,False,Monthly,True,,
308,2024-08-02,,Enterprise,13.0,2587.0,31044.0,False,False,False,False,monthly,True,,
309,2024-08-14,,Enterprise,47.0,0.0,0.0,,False,False,False,monthly,True,,
310,2023-12-15,,Enterprise,31.0,6169.0,74028.0,False,False,False,False,,True,,
311,2024-09-18,,Basic,22.0,418.0,5016.0,False,False,False,False,monthly,True,,
312,,,Enterprise,9.0,1791.0,21492.0,False,False,False,False,annual,True,,
313,2024-08-11,,Enterprise,3.0,597.0,7164.0,,False,True,False,annual,True,,
314,2024-12-23,,Enterprise,53.0,10547.0,126564.0,False,False,True,False,monthly,True,,
315,2024-08-14,,Pro,10.0,490.0,5880.0,False,False,False,False,annual,False,,
316,2024-12-20,,Basic,34.0,646.0,7752.0,False,False,False,False,monthly,True,,
317,2024-02-24,,Enterprise,136.0,27064.0,324768.0,False,False,False,False,monthly,False,,
318,2024-12-01,,Pro,18.0,0.0,0.0,True,False,True,False,monthly,True,,
319,2023-11-24,,Basic,34.0,646.0,7752.0,False,False,False,False,annual,,,
320,2024-08-24,,Pro,,3381.0,,False,,False,False,monthly,True,,
321,2024-11-17,,Enterprise,59.0,11741.0,140892.0,False,False,False,False,monthly,False,,
322,2024-01-16,,Enterprise,28.0,5572.0,66864.0,False,False,False,False,annual,,,
323,2024-02-28,,Pro,52.0,2548.0,30576.0,False,False,False,False,annual,False,,
324,2024-04-02,,Pro,79.0,3871.0,46452.0,False,False,False,False,annual,True,,
325,2024-05-29,,Basic,12.0,,2736.0,False,False,False,False,annual,True,,
326,2024-12-02,,Enterprise,13.0,2587.0,31044.0,False,False,False,False,annual,True,,
