,gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count,churn,account_id,customer_id
33,,28.0,Bangladesh,Delhi,Individual,,Web,Quarterly,7.0,6.0,16.49188560465506,4.0,0.36,1.0,70.0,1890.0,Card,2.0,Yes,Yes,1.0,24.54622209579724,Technical,3.0,1.0,0.86,0.47,-36.0,Unsatisfied,1.0,0.0,A-337bc1,
34,FEMALE,55.0,Bangladesh,London,,58.0,Mobile,,23.0,4.0,28.769626145819707,6.0,0.07,17.0,10.0,580.0,Card,0.0,,,1.0,24.774432124096364,,2.0,0.0,0.6,0.18,59.0,Satisfied,0.0,0.0,A-E4144B,
35,Male,25.0,Canada,Delhi,,59.0,Mobile,Monthly,,2.0,14.90516155537365,5.0,0.08,14.0,70.0,4130.0,Card,1.0,No,No,0.0,,Billing,3.0,0.0,0.52,0.09,74.0,,1.0,0.0,,
36,Female,59.0,USA,London,SME,,Mobile,Quarterly,28.0,5.0,12.492295115448368,5.0,0.06,11.0,20.0,800.0,Card,2.0,Yes,Yes,1.0,26.817294249167237,Billing,2.0,0.0,,0.17,28.0,Neutral,0.0,1.0,A-82861f,
37,Male,41.0,India,Toronto,Individual,46.0,Mobile,Monthly,15.0,7.0,17.17599674334633,,-0.1,6.0,70.0,,Card,1.0,No,Yes,2.0,16.19442675664146,Technical,5.0,0.0,0.28,0.31,-12.0,Satisfied,0.0,0.0,A-e693b6,
38,Male,52.0,India,Dhaka,SME,49.0,Mobile,Quarterly,7.0,5.0,9.71745806085167,4.0,-0.04,1.0,30.0,1470.0,Card,0.0,No,No,1.0,,Service,,0.0,0.59,0.44,-51.0,Satisfied,1.0,0.0,A-d4e0d4,
39,Male,72.0,India,Toronto,SME,52.0,Mobile,Monthly,10.0,5.0,24.339220025023657,3.0,0.09,15.0,10.0,520.0,Card,1.0,No,No,1.0,22.91113436382605,Billing,2.0,0.0,,0.18,30.0,,1.0,0.0,,
40,Male,31.0,UK,,Individual,,Web,,6.0,7.0,9.006143751173141,6.0,0.2,2.0,30.0,450.0,Card,0.0,No,No,0.0,26.21135509228189,Technical,3.0,1.0,0.14,0.22,15.0,Neutral,1.0,0.0,A-3a5ad8,
41,Male,72.0,Canada,Dhaka,Individual,47.0,Web,Quarterly,19.0,7.0,18.023546761673483,11.0,0.2,2.0,30.0,1410.0,Card,1.0,No,No,0.0,36.25818442735974,Billing,3.0,0.0,0.6,0.35,55.0,,1.0,0.0,A-e693b6,
42,Female,31.0,India,Delhi,Individual,23.0,Mobile,Monthly,26.0,0.0,23.754851640109614,5.0,-0.01,1.0,30.0,690.0,Card,0.0,No,Yes,2.0,18.490502640880678,Service,2.0,0.0,0.28,0.02,-5.0,Satisfied,3.0,0.0,A-8e47ca,
43,,,BANGLADESH,Delhi,sme,,Web,monthly,13.0,4.0,15.393576161501317,3.0,-0.1,21.0,50.0,2200.0,,0.0,Yes,NO,,37.28779351559047,Service,3.0,0.0,0.15,0.43,-17.0,Satisfied,0.0,0.0,A-180abf,
44,Female,29.0,Bangladesh,Dhaka,Individual,41.0,Referral,Monthly,5.0,1.0,24.03688813013394,7.0,0.24,6.0,100.0,4100.0,Card,0.0,No,No,0.0,42.10783620671764,Billing,4.0,0.0,0.56,0.08,9.0,Unsatisfied,5.0,0.0,A-b179bf,
45,,,australia,London,,,Referral,MONTHLY,19.0,0.0,13.679665271423076,7.0,-0.07,1.0,20.0,880.0,PayPal,,No,No,1.0,21.73458584857025,,4.0,1.0,0.76,,17.0,Unsatisfied,0.0,0.0,A-C70870,
46,Female,,,New York,Individual,19.0,Mobile,Monthly,19.0,1.0,7.115452536017008,3.0,-0.17,14.0,30.0,570.0,,1.0,Yes,No,2.0,25.33143315946949,,4.0,0.0,0.58,0.24,87.0,Neutral,2.0,0.0,A-35083d,
47,MALE,72.0,Canada,Delhi,individual,44.0,Referral,monthly,15.0,6.0,20.195862385117863,4.0,0.05,8.0,10.0,440.0,Card,1.0,No,No,0.0,30.04901318281916,Service,3.0,1.0,0.46,0.06,,Unsatisfied,3.0,0.0,a-f6b2fb,
48,Female,63.0,UK,London,Individual,,Mobile,Monthly,12.0,2.0,17.357794918120742,6.0,-0.02,14.0,30.0,330.0,,2.0,No,No,1.0,26.745246493339533,,2.0,1.0,0.72,0.37,-44.0,Unsatisfied,1.0,1.0,A-ed510f,
49,,51.0,UK,New York,SME,38.0,Web,Yearly,32.0,2.0,8.29113943673211,7.0,0.0,10.0,100.0,3800.0,Bank Transfer,1.0,Yes,Yes,2.0,28.09561459854149,Technical,3.0,0.0,0.86,0.2,,Unsatisfied,2.0,0.0,A-2446e3,
50,,58.0,USA,Dhaka,Individual,40.0,Mobile,Monthly,14.0,7.0,14.39385549280083,2.0,-0.01,14.0,20.0,800.0,PayPal,1.0,No,Yes,0.0,6.585886462154875,Billing,5.0,0.0,0.47,0.26,-11.0,Satisfied,2.0,0.0,A-2922b6,
51,Female,27.0,USA,Toronto,Individual,43.0,Web,Yearly,5.0,2.0,8.17725801847205,10.0,0.01,1.0,50.0,2150.0,Card,0.0,Yes,No,2.0,23.97144827973592,Technical,3.0,0.0,0.58,0.43,52.0,Satisfied,0.0,0.0,A-977ca0,
52,Male,34.0,India,Delhi,SME,3.0,Web,Yearly,19.0,4.0,14.956605683514102,4.0,0.01,1.0,,60.0,PayPal,0.0,No,No,1.0,14.665058613879632,,5.0,2.0,0.37,0.02,36.0,Neutral,0.0,0.0,A-cc98bc,
53,Female,34.0,Germany,Berlin,,,Web,Monthly,25.0,5.0,30.97642132313397,4.0,0.1,6.0,100.0,1600.0,PayPal,0.0,No,No,0.0,,Technical,3.0,3.0,0.47,,-22.0,Unsatisfied,1.0,0.0,,
54,Male,20.0,Bangladesh,Toronto,Individual,32.0,Mobile,Monthly,24.0,0.0,21.712668188491957,2.0,0.04,15.0,20.0,640.0,Bank Transfer,3.0,No,No,1.0,35.65475989048856,Technical,3.0,1.0,0.59,0.15,,Neutral,3.0,0.0,A-d42431,
55,Female,48.0,USA,Sydney,SME,38.0,Mobile,Monthly,4.0,1.0,19.38887853212307,4.0,0.01,10.0,50.0,1900.0,Card,1.0,Yes,No,1.0,28.65533318527303,Service,5.0,,0.71,0.1,-61.0,Satisfied,0.0,0.0,A-bb1486,
56,Female,68.0,UK,New York,SME,,Web,Quarterly,32.0,6.0,16.181186299618698,4.0,0.09,15.0,50.0,450.0,PayPal,0.0,No,No,2.0,30.974051105967675,Service,4.0,0.0,0.47,0.12,60.0,Unsatisfied,0.0,0.0,A-118f1c,
57,Male,18.0,Bangladesh,Berlin,Individual,,Web,Quarterly,22.0,3.0,22.34384180539017,5.0,0.14,4.0,10.0,410.0,PayPal,0.0,Yes,No,2.0,23.503369709326435,Service,4.0,0.0,0.1,0.18,,,0.0,0.0,A-10b8f2,
58,Male,,Germany,Toronto,Individual,38.0,,Quarterly,25.0,5.0,15.542769834235148,5.0,,0.0,50.0,1900.0,,2.0,No,Yes,1.0,21.721395796459497,,2.0,0.0,0.61,0.04,29.0,Unsatisfied,0.0,0.0,A-18793f,
59,MALE,56.0,usa,Delhi,SME,5.0,Web,Quarterly,46.0,0.0,2.45188400733597,5.0,-0.08,1.0,50.0,250.0,Card,0.0,No, No    ,1.0,35.93881945559706,Service,3.0,1.0,0.62,0.45,59.0,Satisfied,0.0,0.0,,
60,Male,21.0,Canada,Berlin,Individual,1.0,Web,Monthly,27.0,1.0,5.626137004810996,4.0,-0.22,3.0,10.0,10.0,Bank Transfer,1.0,Yes,No,2.0,22.506607114960165,Technical,,0.0,0.59,0.4,-33.0,Satisfied,0.0,0.0,A-9bfc9f,
61,Male,59.0,Australia,,SME,35.0,Mobile,,25.0,6.0,11.15873803906122,3.0,0.01,25.0,20.0,700.0,PayPal,0.0,Yes,No,2.0,33.26707232654894,Service,4.0,0.0,0.88,0.37,39.0,Neutral,1.0,1.0,A-0f3e88,
62,Male,30.0,USA,New York,Individual,35.0,Web,Monthly,17.0,3.0,12.051570326421883,4.0,,13.0,20.0,700.0,Card,0.0,Yes,No,1.0,36.28579911694359,,2.0,0.0,0.67,0.07,94.0,Satisfied,0.0,0.0,A-bbe56f,
63,Male,51.0,USA,Sydney,Individual,12.0,Web,Yearly,19.0,0.0,15.179540884293129,5.0,-0.12,9.0,10.0,120.0,Card,1.0,No,No,3.0,33.16694971327691,Technical,4.0,0.0,0.32,0.01,33.0,Satisfied,1.0,0.0,,
64,Male,59.0,Canada,,Individual,36.0,Web,Monthly,7.0,0.0,23.3082550906363,6.0,0.02,23.0,30.0,1080.0,PayPal,0.0,Yes,Yes,3.0,31.224061964874053,,4.0,1.0,0.48,,67.0,Satisfied,,0.0,A-5c046d,
65,Female,38.0,UK,Berlin,,21.0,Mobile,Monthly,20.0,5.0,17.727144801829468,4.0,-0.13,0.0,50.0,1050.0,Bank Transfer,1.0,,Yes,2.0,17.062046825596674,Service,3.0,0.0,0.45,0.23,0.0,,1.0,0.0,A-3b5cd1,
66,Female,39.0,India,Toronto,SME,48.0,,Yearly,36.0,2.0,16.24636952831633,7.0,0.09,7.0,20.0,960.0,Card,1.0,Yes,No,,12.20311733225302,Billing,2.0,0.0,0.65,0.27,,Satisfied,0.0,0.0,A-b07b56,
67,Male,74.0,Canada,New York,Individual,43.0,Referral,Quarterly,24.0,5.0,7.281570771729517,6.0,0.01,12.0,20.0,860.0,PayPal,0.0,No,No,1.0,28.53677351179713,Service,5.0,0.0,0.59,0.32,-2.0,Satisfied,2.0,0.0,A-d5a319,
68,female,21.0,India,Delhi,Individual,8.0,Mobile,,42.0,,13.922269262212849,2.0,-0.02,0.0,50.0,400.0,PayPal,0.0,No,no,2.0,,,5.0,0.0,0.45,0.03,79.0,Satisfied,1.0,0.0,A-87Aa7B,
69,Female,,USA,Sydney,Enterprise,27.0,Web,Monthly,25.0,5.0,10.657705746528642,2.0,,12.0,20.0,540.0,PayPal,0.0,No,No,1.0,,,4.0,0.0,0.81,0.27,100.0,,2.0,0.0,A-98a59a,
70,Female,22.0,UK,Toronto,Individual,,,Yearly,22.0,5.0,7.841616587790844,4.0,0.1,10.0,10.0,90.0,Card,1.0,No,Yes,1.0,18.636644507647823,Technical,2.0,0.0,0.13,0.09,,Neutral,2.0,0.0,A-180abf,
71,Female,36.0,Germany,Sydney,SME,28.0,Web,Yearly,18.0,6.0,,5.0,0.01,9.0,30.0,840.0,PayPal,0.0,Yes,No,1.0,25.85601605427897,,4.0,0.0,0.43,0.38,1.0,Satisfied,1.0,0.0,,
72,,19.0,USA,Delhi,Enterprise,30.0,Mobile,Monthly,39.0,5.0,,5.0,-0.03,32.0,50.0,1500.0,Card,,Yes,No,1.0,31.371738338223714,Billing,3.0,0.0,0.79,0.04,53.0,Satisfied,3.0,0.0,A-9bfc9f,
73,Female,29.0,Canada,Dhaka,,14.0,Mobile,Monthly,15.0,7.0,27.21491300956673,3.0,-0.01,,30.0,420.0,Card,0.0,Yes,No,3.0,47.066245287046016,Billing,5.0,0.0,0.12,0.5,44.0,Neutral,2.0,0.0,A-18793f,
74,Male,34.0,Germany,New York,SME,,Mobile,Quarterly,12.0,6.0,23.158078444131448,8.0,0.13,35.0,50.0,1150.0,Bank Transfer,0.0,Yes,No,1.0,33.49090483245683,Billing,4.0,0.0,0.83,0.25,26.0,Satisfied,1.0,0.0,A-fd9422,
75,Female,27.0,Australia,Berlin,Individual,29.0,Web,Yearly,11.0,1.0,9.025624677591097,4.0,-0.21,,50.0,1450.0,Card,1.0,No,No,0.0,19.291813740483427,Billing,2.0,1.0,0.47,0.42,1.0,Unsatisfied,0.0,0.0,A-00cac8,
76,Female,51.0,Germany,Sydney,Enterprise,26.0,Web,Quarterly,42.0,2.0,11.617056374949732,9.0,0.01,16.0,70.0,1820.0,PayPal,0.0,No,No,1.0,25.00014652177512,,3.0,0.0,0.64,0.44,15.0,Neutral,3.0,0.0,,
77,Female,23.0,Canada,New York,SME,22.0,Web,Yearly,21.0,0.0,32.60016552142086,1.0,0.22,25.0,50.0,1100.0,Bank Transfer,1.0,Yes,No,1.0,38.0296557615061,Billing,5.0,1.0,,0.24,39.0,Neutral,1.0,0.0,A-86fc1d,
78,Male,,Bangladesh,Sydney,SME,15.0,Mobile,Monthly,20.0,6.0,31.66039279647501,2.0,0.15,33.0,20.0,300.0,Bank Transfer,0.0,Yes,No,1.0,20.81343047798432,Technical,5.0,1.0,0.58,0.03,,Unsatisfied,1.0,0.0,,
79, Female    ,68.0, Germany    ,Toronto,individual,,Web,YEARLY,25.0,2.0,16.508693873052273,1.0,,,20.0,1020.0,Bank Transfer,1.0,No,,2.0,19.660778628381163,Technical,5.0,0.0,0.15,0.17,-42.0,Satisfied,1.0,0.0,A-5A215A,
80,MALE,28.0,,,,9.0,,MONTHLY,17.0,7.0,20.236770866722445,6.0,0.1,,10.0,,Bank Transfer,1.0,Yes,yes,3.0,26.19862826385773,Billing,4.0,2.0,0.54,0.43,,Neutral,1.0,,A-104f1a,
81,Female,74.0,Bangladesh,Dhaka,SME,26.0,Web,Monthly,12.0,,17.08881608166477,6.0,0.36,3.0,20.0,520.0,Card,0.0,,No,2.0,16.607304116671422,Technical,3.0,1.0,0.19,0.45,10.0,Satisfied,1.0,0.0,A-d4e0d4,
82,Male,29.0,USA,Toronto,SME,,Mobile,Monthly,11.0,1.0,12.80170590909252,6.0,0.05,2.0,20.0,340.0,PayPal,0.0,No,No,1.0,23.123570376440576,Technical,3.0,0.0,0.49,,5.0,Satisfied,3.0,0.0,,
83,Female,26.0,Bangladesh,Toronto,Individual,9.0,Web,Quarterly,11.0,3.0,16.935084014882968,7.0,-0.05,7.0,50.0,,Card,0.0,No,No,1.0,8.736811836497063,Technical,4.0,1.0,0.19,0.13,39.0,Neutral,2.0,0.0,A-a8d89d,
84,MALE,19.0,Uk,New York,INDIVIDUAL,3.0,Web, Monthly    ,0.0,1.0,19.412293070586703,7.0,0.21,15.0,20.0,60.0,Card,1.0,Yes, No    ,0.0,16.225823143501692,Technical,3.0,1.0,0.13,,88.0,Satisfied,0.0,0.0,A-B48F73,
85,Male,25.0,Australia,London,Enterprise,57.0,Web,Yearly,20.0,4.0,22.368647298708677,6.0,0.05,4.0,50.0,,Card,0.0,No,No,1.0,25.44715626778054,Technical,4.0,1.0,,0.49,15.0,Satisfied,1.0,0.0,,
86,Female,28.0,Bangladesh,,Individual,16.0,Web,Yearly,4.0,3.0,17.29903630165888,3.0,-0.25,17.0,100.0,1600.0,Card,0.0,No,No,2.0,25.60697898790763,,4.0,0.0,0.29,0.37,22.0,Satisfied,1.0,0.0,A-c70870,
87,male,70.0,Uk,Sydney,Individual,13.0,Web,QUARTERLY,25.0,6.0,17.196418338992782,7.0,0.05,6.0,50.0,650.0,Bank Transfer,0.0,,yes,0.0,22.71849160008816,Billing,4.0,1.0,0.39,0.17,80.0,Satisfied,2.0,0.0,,
88,Female,53.0,UK,Berlin,SME,26.0,Referral,Monthly,28.0,4.0,6.145405880843796,5.0,0.1,2.0,50.0,1300.0,Card,0.0,No,No,3.0,30.796739985777144,,,1.0,0.78,0.43,,Satisfied,0.0,0.0,A-4ef964,
89,Female,27.0,UK,Toronto,Individual,17.0,Web,Monthly,13.0,5.0,9.222364270439003,6.0,-0.12,9.0,30.0,510.0,PayPal,0.0,No,No,0.0,26.81470176554447,Technical,5.0,0.0,0.13,0.05,61.0,Satisfied,0.0,0.0,A-3f9cc0,
90,Female,38.0,,London,Individual,32.0,Web,Monthly,23.0,2.0,2.3202353997671725,5.0,0.32,,20.0,640.0,Card,,No,No,2.0,23.628089126455563,Service,,0.0,,0.13,8.0,Satisfied,0.0,0.0,A-9a532a,
91,Female,,Canada,Toronto,Individual,24.0,Mobile,Quarterly,27.0,3.0,,8.0,-0.07,1.0,10.0,240.0,PayPal,,Yes,No,3.0,27.0711804896054,Technical,3.0,0.0,0.16,0.13,-7.0,Satisfied,0.0,0.0,A-e1b9cd,
92,Female,65.0,Canada,London,Individual,54.0,Mobile,Monthly,35.0,0.0,11.002849942208208,9.0,,7.0,30.0,1620.0,Card,0.0,No,No,1.0,10.191430871482094,Billing,3.0,0.0,0.82,0.06,75.0,Unsatisfied,1.0,0.0,A-18793f,
93,Female,,Australia,London,Individual,57.0,Web,Quarterly,16.0,5.0,13.60544438069796,5.0,0.16,0.0,,1140.0,Card,0.0,No,No,0.0,2.5319324904463336,Service,3.0,0.0,,0.49,35.0,Unsatisfied,2.0,0.0,A-5a215a,
94,,53.0,Canada,Berlin,Individual,36.0,Mobile,Quarterly,5.0,1.0,15.602439897373792,6.0,0.11,14.0,30.0,1080.0,Card,0.0,No,No,3.0,30.23055931268139,Service,2.0,0.0,0.61,0.29,16.0,Neutral,1.0,0.0,A-0f6450,
95,,46.0,India,London,Individual,53.0,Mobile,Quarterly,10.0,7.0,17.110946962047787,4.0,,20.0,30.0,1590.0,Card,0.0,No,No,1.0,25.89525776295612,Billing,4.0,0.0,0.12,0.12,-13.0,Unsatisfied,2.0,0.0,A-5f7781,
96,Female,59.0,Canada,Berlin,SME,,Web,Monthly,3.0,7.0,1.6712679694356165,1.0,0.09,2.0,30.0,660.0,PayPal,0.0,No,No,,19.232957694719587,Technical,4.0,0.0,0.63,,-33.0,Satisfied,0.0,1.0,A-94f8c9,
97,Female,29.0,Canada,,Enterprise,9.0,Mobile,Quarterly,24.0,0.0,17.70185946050415,4.0,,1.0,20.0,180.0,PayPal,0.0,Yes,No,1.0,8.936036829054027,,4.0,0.0,0.29,0.12,-69.0,Unsatisfied,0.0,0.0,A-76fa4d,
98,Female,31.0,Canada,Toronto,Individual,22.0,Web,Monthly,0.0,6.0,12.237442367433712,4.0,-0.05,0.0,20.0,440.0,PayPal,0.0,No,Yes,1.0,22.648639723860573,Billing,5.0,0.0,0.77,0.46,24.0,Neutral,2.0,0.0,A-a33200,
99,Male,,USA,Berlin,Individual,41.0,Web,Monthly,9.0,0.0,21.16452613975216,3.0,-0.15,,10.0,410.0,Bank Transfer,0.0,No,Yes,1.0,27.74311949020926,Technical,3.0,0.0,0.51,0.04,-4.0,Satisfied,0.0,0.0,A-76fa4d,
